"measure","level","within","composition","interaction","total"
"price_per_mL","bt",-4.49833238629175,-7.57834952635518,8.0336407322424,-4.04304118040453
"price_per_mL","brand",-4.81228319358945,-7.26065223254868,8.0298942457336,-4.04304118040453
"price_per_mL","type",-4.5465856513963,-0.273516598803737,0.777061069795506,-4.04304118040453
"avg_mL_per_ecig","bt",-1.61618400420549,-2.90853453397673,6.36777430145215,1.84305576326992
"avg_mL_per_ecig","brand",-1.46144973347128,-2.93371198901999,6.23821748576118,1.84305576326992
"avg_mL_per_ecig","type",1.2850028228874,0.331110683002291,0.226942257380228,1.84305576326992
"nic_mg_per_mL","bt",1.71452581196175,-9.40055300129999,18.6632493565376,10.9772221671994
"nic_mg_per_mL","brand",1.28346943476003,-9.31159094367475,19.0053436761141,10.9772221671994
"nic_mg_per_mL","type",8.70701900277481,0.10480517880465,2.16539798561992,10.9772221671994
"P_hom_cell","bt",-11.1822621870411,-17.1868631958431,29.1208266236991,0.751701240814926
"P_hom_cell","brand",-20.0892655785385,-25.7696875061826,37.6396992051277,-8.21925387959334
"P_hom_cell","type",-0.594716357855287,1.12545465635069,1.38941691876918,1.92015521726458
"N_hom_cell","bt",-4.89378345080925,-29.7982722311957,104.58382976527,69.8917740832651
"N_hom_cell","brand",-4.35357775108913,-32.8306688464934,106.9491030142,69.764856416618
"N_hom_cell","type",72.4855217420874,3.87248029444533,7.369354927863,83.7273569643958
