year_month,type,units_sum,cart_sum,units_na_cart,mL_sum
2016-03,Open refill,73039,73039,0,637617.1490205084
2016-04,Closed pod,446484,1286169,1007,1322705.4616105894
2016-04,Disposable,308560,308742,13374,472857.81477800955
2016-04,Open refill,93886,93886,0,808553.0511230177
2016-05,Closed pod,375957,1043777,725,1067414.7991419532
2016-05,Disposable,280232,280373,11162,415174.27070101403
2016-05,Open refill,81879,81879,0,707773.4172275112
2016-06,Closed pod,369617,1030911,702,1042779.9899704482
2016-06,Disposable,283203,283409,10201,409164.807459015
2016-06,Open refill,78443,78443,0,667643.5689930067
2016-07,Closed pod,475649,1323355,820,1331586.9883880608
2016-07,Disposable,356557,356765,11176,499998.5882320263
2016-07,Open refill,92892,92892,0,786048.1985155125
2016-08,Closed pod,394172,1089437,707,1093654.8932828999
2016-08,Disposable,291416,291605,8550,400358.549870028
2016-08,Open refill,74398,74398,0,631601.8411105026
2016-09,Closed pod,398784,1099317,645,1098217.3990569103
2016-09,Disposable,295536,295676,8384,397034.20490603155
2016-09,Open refill,77721,77721,0,646626.3744360044
2016-10,Closed pod,481948,1323210,855,1339817.0603295944
2016-10,Disposable,300019,300193,8833,416496.70984206145
2016-10,Open refill,95318,95318,0,784092.310165542
2016-11,Closed pod,385955,1052242,613,1081820.729981847
2016-11,Disposable,206308,206454,6643,289000.10324003577
2016-11,Open refill,71838,71838,0,628235.2415335311
2016-12,Closed pod,468743,1274965,686,1326599.4295490626
2016-12,Disposable,310173,310323,7588,397895.32320006745
2016-12,Open refill,82880,82880,0,775806.5879810529
2017-01,Closed pod,376960,1052289,2660,1090745.480664788
2017-01,Disposable,278271,278272.056,5598,340965.9832790187
2017-01,Open refill,69699,69699,0,617242.138909544
2017-02,Closed pod,393874,1099126,3270,1141347.9474637958
2017-02,Disposable,298795,298795.042,5563,358807.7672850215
2017-02,Open refill,74287,74287,0,611138.514711043
2017-03,Closed pod,417376,1161581,1782,1203831.5968013655
2017-03,Disposable,322144,322147.238,5854,387938.96135402436
2017-03,Open refill,81878,81878,0,649267.9132625426
2017-04,Closed pod,550129,1533110,3908,1594831.5814102031
2017-04,Disposable,421590,421596.14,6849,505002.2258230453
2017-04,Open refill,103340,103340,0,795346.3310275787
2017-05,Closed pod,454509,1250608,3834,1290285.7493894617
2017-05,Disposable,359012,359014.042,5312,427095.9595850299
2017-05,Open refill,86111,86111,0,679186.5505845465
2017-06,Closed pod,462741,1268946,3134,1304401.2712794452
2017-06,Disposable,386828,386831.042,6505,467674.36545403
2017-06,Open refill,93584,93584,0,731937.6746550498
2017-07,Closed pod,452786,1249501,5845,1288120.2188743558
2017-07,Disposable,388340,388344,5180,459884.970983033
2017-07,Open refill,91602,91602,0,674973.3893920465
2017-08,Closed pod,430312,1192142,3551,1233450.3939142933
2017-08,Disposable,382971,382971.01399999997,4997,455521.6956470335
2017-08,Open refill,92586,92586,0,664769.2652505434
2017-09,Closed pod,526390,1433632,3066,1468993.2028822391
2017-09,Disposable,449736,449739,6106,529184.5946150465
2017-09,Open refill,111960,111960,0,789833.0093865753
2017-10,Closed pod,431087,1127248,4013,1152630.3214778027
2017-10,Disposable,375321,375321,5159,425961.9645260357
2017-10,Open refill,97639,97639,0,647606.32296155
2017-11,Closed pod,458510,1172600,5781,1200896.872354396
2017-11,Disposable,397346,397348,5584,448763.708587045
2017-11,Open refill,104072,104072,0,661072.0797745461
2017-12,Closed pod,616156,1589816,8758,1611544.5996312047
2017-12,Disposable,484271,484274,6331,540907.2920210571
2017-12,Open refill,127819,127819,0,826785.3574405744
2018-01,Closed pod,1739390,4520905,99260,4399437.418356138
2018-01,Disposable,545780,545788,6295,634507.0471090955
2018-01,Open refill,118336,118336,0,736868.7729295406
2018-02,Closed pod,1861505,4898663,116332,4758165.643388499
2018-02,Disposable,555104,555109,6874,629612.2918415968
2018-02,Open refill,123830,123830,0,741578.4345640353
2018-03,Closed pod,2698442,7292612,205259,7003316.776153937
2018-03,Disposable,738416,738427,8197,819046.099899669
2018-03,Open refill,153378,153378,0,923629.9282155562
2018-04,Closed pod,2380821,6714642,176982,6168894.355346929
2018-04,Disposable,611106,611112,6086,665644.7744186894
2018-04,Open refill,116431,116431,0,677506.1589825215
2018-05,Closed pod,2660277,7773631,161898,6747645.944787321
2018-05,Disposable,670075,670079,5893,735745.5034723162
2018-05,Open refill,130084,130084,0,651644.3106670226
2018-06,Closed pod,3496876,10472935,208157,8984093.711829966
2018-06,Disposable,840435,840436,6552,912543.3088824288
2018-06,Open refill,167902,167902,0,786966.1256710278
2018-07,Closed pod,2899527,8695882,143943,7369692.59008585
2018-07,Disposable,706777,706779,4971,773909.5507713377
2018-07,Open refill,128077,128077,0,607555.3377020189
2018-08,Closed pod,3022909,9053594,158003,7907718.523392776
2018-08,Disposable,664508,664508,5390,713440.0326368203
2018-08,Open refill,129940,129940,0,617316.1618710188
2018-09,Closed pod,3852818,11683775,227843,9930357.64389859
2018-09,Disposable,816048,816051,6231,874429.4000688785
2018-09,Open refill,153652,153652,0,724875.921878517
2018-10,Closed pod,3210644,9780226,213169,8240792.966218981
2018-10,Disposable,637416,637416,4620,690733.1969167681
2018-10,Open refill,108917,108917,0,478109.0951885014
2018-11,Closed pod,3343038,10282954,194078,8642538.03029443
2018-11,Disposable,642823,642823,5664,708189.3633797237
2018-11,Open refill,103955,103955,0,521623.11288500123
2018-12,Closed pod,4105110,12651753,190954,10633060.495725174
2018-12,Disposable,781545,781548,8044,854064.4622807729
2018-12,Open refill,126805,126805,0,725395.7706305038
2019-01,Closed pod,3203873,9717921,165061,8396439.205513757
2019-01,Disposable,608928,608931,6326,659754.1248171094
2019-01,Open refill,96350,96350,0,545176.0656225042
2019-02,Closed pod,3237690,9804281,162828,8507679.195196113
2019-02,Disposable,614860,614860,1596,628666.52854462
2019-02,Open refill,84919,84919,0,355879.1612884968
2019-03,Closed pod,4383323,13370189,217518,11530890.551204318
2019-03,Disposable,771294,771294,998,783063.6779891854
2019-03,Open refill,101165,101165,0,426483.58107249625
2019-04,Closed pod,3797887,11586773,183233,10071566.422361657
2019-04,Disposable,600290,600290,528,605401.8495736164
2019-04,Open refill,85346,85346,0,593109.0374895035
2019-05,Closed pod,4026123,12092395,169571,10956604.207305785
2019-05,Disposable,610330,610332,966,617920.364535618
2019-05,Open refill,109615,109615,0,1348011.284632979
2019-06,Closed pod,5426970,15985991,202370,15069310.153236259
2019-06,Disposable,768804,768804,1991,787435.51776268
2019-06,Open refill,142427,142427,0,1847764.3556914693
2019-07,Closed pod,4736981,13550716,179584,13296622.690140646
2019-07,Disposable,615898,615898,537,617938.6233675991
2019-07,Open refill,90724,90724,0,911813.743050008
2019-08,Closed pod,6357353,17589364,273041,18337216.393459074
2019-08,Disposable,766060,766060,389,768056.7412611246
2019-08,Open refill,99477,99477,0,820172.3784120072
2019-09,Closed pod,4751857,12499445,298176,13950879.312120404
2019-09,Disposable,554488,554489,268,554628.3580915648
2019-09,Open refill,61617,61617,0,369984.04046949913
2019-10,Closed pod,4768652,12346510,378059,13764469.081944577
2019-10,Disposable,579715,579715,92,577876.1274845519
2019-10,Open refill,52343,52343,0,190132.40289050006
2019-11,Closed pod,6191989,16081621,479073,17715047.60386182
2019-11,Disposable,573750,573750,106,572568.5831810563
2019-11,Open refill,41096,41096,0,150781.31828550002
2019-12,Closed pod,4766944,11864550,392228,13609341.214116562
2019-12,Disposable,375481,375481,68,374677.07659753
2019-12,Open refill,19310,19310,0,103671.76461350001
2020-01,Closed pod,4120489,9997801,332994,12033491.027407099
2020-01,Disposable,339965,339965,98,339640.7308705034
2020-01,Open refill,13875,13875,0,91081.17402350002
2020-02,Closed pod,4359798,11124699,295459,12767877.249425428
2020-02,Disposable,586150,586150,37,584865.5939965445
2020-02,Open refill,918,918,0,7084.886262500001
2020-03,Closed pod,3599576,9518899,184409,10654055.432814576
2020-03,Disposable,428482,428482,14,428975.87297951605
2020-03,Open refill,47,47,0,309.4106245
2020-04,Closed pod,3667621,9871993,163949,10937379.578561977
2020-04,Disposable,314067,314067,2,314743.97333798575
2020-04,Open refill,35,35,0,291.90438900000004
2020-05,Closed pod,4770319,12754014,236013,14309543.031818952
2020-05,Disposable,368693,368693,7,369249.5817680105
2020-05,Open refill,104,104,0,1044.254737
2020-06,Closed pod,3842362,10177975,220245,11568681.118427768
2020-06,Disposable,315491,315491,7,315850.46294548677
2020-06,Open refill,31,31,0,253.135478
2020-07,Closed pod,3859526,10171845,236147,11628563.07430854
2020-07,Disposable,315866,315866,0,317023.0499999876
2020-07,Open refill,23,23,0,222.41686000000004
2020-08,Closed pod,4818145,12739150,250289,14598133.119074935
2020-08,Disposable,385980,385981,4,388162.62333800714
2020-08,Open refill,30,30,0,252.93348800000007
2020-09,Closed pod,3876226,10166158,200908,11815266.52048961
2020-09,Disposable,299030,299030,11,301297.25166599575
2020-09,Open refill,14,14,0,132.9521945
2020-10,Closed pod,4966297,12897023,262766,15277927.883945275
2020-10,Disposable,367899,367899,16,371346.1049900029
2020-10,Open refill,20,20,0,180.691802
2020-11,Closed pod,4064266,10405131,192939,12448160.487864615
2020-11,Disposable,291240,291240,13,293921.2499999991
2020-11,Open refill,18,18,0,179.95635149999998
2020-12,Closed pod,4031551,10345007,140531,12281337.99925283
2020-12,Disposable,288570,288570,9,291406.70000000007
2020-12,Open refill,13,13,0,171.687645
2021-01,Closed pod,4608521,12499718,0,14699819.643588824
2021-01,Disposable,952777,982692,0,1449237.163504068
2021-01,Open refill,29,29,0,328.798173
2021-02,Closed pod,3670958,10061034,0,11889302.115724081
2021-02,Disposable,792209,816721,0,1248255.7840608307
2021-02,Open refill,2,2,0,29.987529
2021-03,Closed pod,3613187,10387651,0,12334034.410080308
2021-03,Disposable,860965,890938,0,1378226.072998226
2021-03,Open refill,15,15,0,125.86481599999999
2021-04,Closed pod,3501824,10393210,0,12306377.99866901
2021-04,Disposable,861413,892754,0,1403623.634821209
2021-04,Open refill,15,15,0,161.42248999999998
2021-05,Closed pod,4367221,13149223,0,15512985.747144086
2021-05,Disposable,1074159,1106390,0,1763221.8784348266
2021-05,Open refill,82,82,0,758.8853135000002
2021-06,Closed pod,3453030,10514860,0,12438595.822021225
2021-06,Disposable,889267,917839,0,1497780.8841375858
2021-06,Open refill,15,15,0,121.94059100000001
2021-07,Closed pod,4266553,13007692,0,15440692.3600748
2021-07,Disposable,1213843,1255977,0,2097239.693696506
2021-07,Open refill,18,18,0,189.93764499999997
2021-08,Closed pod,3364332,10254919,0,12194387.959160408
2021-08,Disposable,941501,963068,0,1781892.8058664904
2021-08,Open refill,8,8,0,64.7752855
2021-09,Closed pod,3333271,10174302,0,12172915.389508259
2021-09,Disposable,958338,977275,0,1937560.5224942223
2021-09,Open refill,13,13,0,189.660019
2021-10,Closed pod,4140663,12665384,0,15232634.959119435
2021-10,Disposable,1197497,1219992,0,2496632.224570384
2021-10,Open refill,24,24,0,215.5904795
2021-11,Closed pod,3288464,10076106,0,12177740.894316463
2021-11,Disposable,920958,938259,0,1966928.3924462842
2021-11,Open refill,6,6,0,84.9646655
2021-12,Closed pod,3298094,10116986,0,12274177.74493651
2021-12,Disposable,873757,890042,0,1906767.2925579173
2021-12,Open refill,12,12,0,124.98129349999999
2022-01,Closed pod,3056068,9402030,0,11202002.228978513
2022-01,Disposable,906712,918848,0,1927410.4973492718
2022-01,Open refill,1,1,0,14.9937645
2022-02,Closed pod,3128994,9657165,0,11569691.598748496
2022-02,Disposable,930006,940352,0,2088585.9525932958
2022-02,Open refill,5,5,0,23.230688
2022-03,Closed pod,3113101,9677949,0,11604708.21844061
2022-03,Disposable,939419,946712,0,2191004.279212623
2022-03,Open refill,4,4,0,59.975058
2022-04,Closed pod,3880282,12111471,0,14523495.12183426
2022-04,Disposable,1150329,1156322,0,2738938.725449023
2022-04,Open refill,7,7,0,60.9634545
2022-05,Closed pod,3102236,9707992,0,11623679.167232074
2022-05,Disposable,863866,866775,0,2045801.9823486544
2022-05,Open refill,10,10,0,78.95245650000001
2022-06,Closed pod,3151261,9912232,0,11826567.791370109
2022-06,Disposable,834315,835874,0,1947946.6739349086
2022-06,Open refill,6,6,0,45.95721900000001
2022-07,Closed pod,3552761,10901823,0,13940493.315122107
2022-07,Disposable,1054706,1055737,0,2445806.297791763
2022-07,Open refill,5,5,0,59.975058000000004
2022-08,Closed pod,2814040,8670070,0,11050082.640817538
2022-08,Disposable,813366,813885,0,1830045.2892237282
