"measure","level","within","composition","interaction","total"
"price_per_mL","bt",-3.99053657411731,-7.6550270235019,7.77393423775356,-3.87162935986565
"price_per_mL","brand",-2.74444837438006,-7.27478038655271,6.14759940106712,-3.87162935986565
"price_per_mL","type",-2.60603589049099,-5.01388938360514,3.74829591423049,-3.87162935986565
"avg_mL_per_ecig","bt",-1.75411499942057,-2.81318877966753,6.4250592526799,1.8577554735918
"avg_mL_per_ecig","brand",-1.87470571078233,-3.05695561689631,6.78941680127044,1.8577554735918
"avg_mL_per_ecig","type",0.0470438744442989,0.406216864191728,1.40449473495577,1.8577554735918
"nic_mg_per_mL","bt",0.550972315689593,-10.6483526343989,20.7542030308827,10.6568227121734
"nic_mg_per_mL","brand",-0.0913431799069614,-9.3444745938399,20.0926404859203,10.6568227121734
"nic_mg_per_mL","type",13.3006551214004,-3.48269565037865,0.838863241151667,10.6568227121734
"P_hom_cell","bt",-9.2725158836014,-15.2625116778024,27.4775682007644,2.94254063936059
"P_hom_cell","brand",-17.8511435813708,-26.1310986892131,36.3312858739924,-7.65095639659144
"P_hom_cell","type",-2.06949099782051,-4.5483545115166,9.85300786951803,3.23516236018093
"N_hom_cell","bt",-8.71029687079051,-30.7535882673236,112.007779492357,72.543894354243
"N_hom_cell","brand",-15.7501597597121,-34.3675482845065,119.792680656565,69.6749726123459
"N_hom_cell","type",39.3518633407921,2.14526845483372,42.288602593861,83.7857343894868
