"type","s0","x0","s1","x1","within","composition","interaction","total","base_month","comp_month"
"Closed pod",0.653603255141032,20.5410337678199,0.774663021721366,22.4764462650377,1.26499190822219,2.48669275325104,0.234300585149848,3.98598524662307,2013-01-01,2023-12-01
"Open refill",0.111944483469171,10.0640451140304,0,0,-1.12661433190057,-1.12661433190057,1.12661433190057,-1.12661433190057,2013-01-01,2023-12-01
"Disposable",0.234452261389797,25.7396026144752,0.225336978278634,22.612765919315,-0.733093934176904,-0.234623764999779,0.028502001718759,-0.939215697457924,2013-01-01,2023-12-01
