month,HHI_all,unknown_share,HHI_known
2013-01-01,3882.1937078453334,4.868925291531925e-4,3885.9745199004574
2013-02-01,4017.187235473825,2.590923681187707e-4,4019.2690182324254
2013-03-01,3995.089184662653,1.9265939362901784e-4,3996.628641241966
2013-04-01,3881.258479667312,2.10253488580545e-4,3882.890648562171
2013-05-01,3696.064705569349,1.7735869352709254e-4,3697.3757981853323
2013-06-01,3460.4090151666214,2.586900844057781e-4,3462.199387572304
2013-07-01,3431.0819162138273,2.967453263636621e-4,3433.1182569183266
2013-08-01,3615.3408925731133,2.7268646910508085e-4,3617.312664454437
2013-09-01,3547.254413261684,2.9261319068190977e-4,3549.3304149294145
2013-10-01,3260.700078410532,2.7238388864706697e-4,3262.476386437365
2013-11-01,3030.833063952164,2.673739993384819e-4,3032.4537308406098
2013-12-01,2873.6597261864863,2.0237360788929608e-4,2874.82277541133
2014-01-01,2754.424978382941,1.8655204485340095e-4,2755.4526051079056
2014-02-01,2653.72118189495,2.2670011666054085e-4,2654.924274806797
2014-03-01,2499.8779388247945,1.9980997011476525e-4,2500.876839992805
2014-04-01,2374.724061529799,2.6911905881140725e-4,2376.002020051754
2014-05-01,2304.0537601940114,5.940129780472195e-4,2306.789944054522
2014-06-01,2131.072441115053,0.0016255739831590689,2137.9912926280726
2014-07-01,1982.4157071974787,0.0036456970981630765,1996.8158275669318
2014-08-01,1764.4904079541566,0.017163556067280886,1823.6064629742493
2014-09-01,1476.3670888970703,0.050522551748154204,1609.3509235000754
2014-10-01,1440.1395901574288,0.04771020776190544,1562.9572808180633
2014-11-01,1426.6940574591865,0.04879895185884193,1550.5154357827028
2014-12-01,1348.0505004426914,0.05140774846544921,1468.7518301040036
2015-01-01,1359.5501086971376,0.0669955115889726,1510.2470841680854
2015-02-01,1326.8319928416008,0.0658310151409478,1470.76475455996
2015-03-01,1341.6679118959833,0.0596967022771749,1477.1260259658072
2015-04-01,1361.6768270988782,0.06079761850950129,1501.7703784914843
2015-05-01,1394.8049212186188,0.06049428049147674,1538.7492577977835
2015-06-01,1421.9862643920874,0.05752948553208,1563.6237531160893
2015-07-01,1646.3251808001012,0.05672375156870999,1814.1195974239226
2015-08-01,1606.9273220734779,0.05813216270675665,1773.3143932931455
2015-09-01,1421.9379175191305,0.06664528065986496,1581.2665455187687
2015-10-01,1460.4356087921378,0.0601005155464857,1612.2901154713513
2015-11-01,1494.2517559030757,0.05507777242573729,1639.5477537219701
2015-12-01,1502.8028102514927,0.05342817271301498,1645.3795041292574
2016-01-01,1477.663893922792,0.04860766731947779,1606.4089537184932
2016-02-01,1585.9330704526376,0.052406786117219044,1735.6178394650951
2016-03-01,1554.7090654240708,0.05273751343989198,1701.6449689087597
2016-04-01,1590.0148118821303,0.05215974754238419,1739.544110524913
2016-05-01,1603.2576548216475,0.051621429455370675,1752.9147468211731
2016-06-01,1595.7603191268174,0.048816629343763344,1737.4192048534396
2016-07-01,1595.137549033517,0.0433273657286643,1722.3843301411814
2016-08-01,1624.577470181136,0.04092397072508817,1747.9700570431119
2016-09-01,1620.766206870774,0.039791284982398964,1740.7064986856153
2016-10-01,1577.5063777595722,0.03549528385754642,1682.2087390811741
2016-11-01,1609.4437252536761,0.0339199417246421,1712.1180939495448
2016-12-01,1615.5835531293662,0.030946974889198134,1710.2208173975241
2017-01-01,1545.6636638359385,0.027843570762435457,1627.2673227295763
2017-02-01,1492.1314402791347,0.026865240143012177,1568.0335082285374
2017-03-01,1501.5360063583105,0.026555404394438355,1577.134839283477
2017-04-01,1447.5866436718152,0.024011203392258755,1513.637091802413
2017-05-01,1426.7477232404945,0.02246616691898723,1487.7998196576941
2017-06-01,1466.355032854075,0.026260041875950463,1539.2386335485132
2017-07-01,1452.3766223986238,0.021593243417036483,1512.3206078569906
2017-08-01,1476.3090692894493,0.021487498635566683,1537.036409754785
2017-09-01,1446.8528842124933,0.02212145663557502,1507.9368947743997
2017-10-01,1447.5386966498058,0.02334788091263525,1511.8608022356536
2017-11-01,1405.8212208285431,0.02425269431449234,1470.396568785194
2017-12-01,1392.5048449908818,0.021319657840395342,1449.0890824343112
2018-01-01,1497.8089204729874,0.019230525527288562,1553.2770344628073
2018-02-01,1582.9150263667311,0.01955606548556936,1642.7123724299388
2018-03-01,1854.2619730955519,0.018507825330449965,1921.2964969265886
2018-04-01,2257.703668864513,0.020254000287274095,2347.740600399192
2018-05-01,2641.4223269153804,0.02206359918019725,2756.8649822375096
2018-06-01,2868.132083256233,0.02227455565163179,2995.1141554922624
2018-07-01,2890.6150052182024,0.026908449822470322,3045.044398220162
2018-08-01,2877.7475686689313,0.03064637886662421,3052.5902431258264
2018-09-01,3217.407611213988,0.03020659874583332,3411.2555171535078
2018-10-01,3533.9132927577093,0.02941748266572244,3742.1927402682622
2018-11-01,3567.4785903597062,0.028916268487766697,3774.234831307534
2018-12-01,3457.8854943694196,0.028380618030779146,3654.310692225814
2019-01-01,3241.0366200470094,0.03047387144945623,3438.1017781330543
2019-02-01,3373.6196325903575,0.02671371611320519,3553.818730193208
2019-03-01,3639.7430923099355,0.025762204375409138,3827.790344205993
2019-04-01,3568.4071698966745,0.024802889806232926,3745.762473532388
2019-05-01,2960.3798559023408,0.021108285423390983,3084.778579140111
2019-06-01,2841.7112597740165,0.019303109784884094,2950.8050888439143
2019-07-01,3097.5222594326815,0.01968889200372364,3219.1612555488027
2019-08-01,3129.4329280904135,0.02809972048647081,3304.646966951587
2019-09-01,3064.2414084946777,0.04974149132153047,3366.034061864129
2019-10-01,2911.877175940324,0.06368200996389664,3275.1812810529686
2019-11-01,2826.8331433169897,0.06481284359378874,3184.2049459721034
2019-12-01,2706.2873606337516,0.07308605021568372,3087.7163877010644
2020-01-01,2551.5814965437453,0.07056509949479509,2896.092355710854
2020-02-01,2661.1855662452035,0.05369037757883016,2939.5347965524643
2020-03-01,2808.6943348615873,0.037582525690925225,3017.0879702442685
2020-04-01,2887.004742628646,0.031866689210785615,3069.353251192643
2020-05-01,2848.5639472540756,0.03831739900224996,3064.2077154615595
2020-06-01,2807.878883013788,0.04482460837054613,3055.577118610434
2020-07-01,2803.4045583497877,0.04650242059077736,3059.733211598002
2020-08-01,2849.414037258948,0.03867484889533334,3067.108937713427
2020-09-01,2855.381379877213,0.03734462227815444,3066.168865042683
2020-10-01,2871.9765215169054,0.03984020068672432,3098.0398246487534
2020-11-01,2935.899034460243,0.03635861161917644,3147.3881923343715
2020-12-01,3011.6692265936176,0.02283349754624281,3148.6011101523404
2021-01-01,2919.0437884132625,8.635555904336967e-6,2919.0942034522163
2021-02-01,2953.261861222247,1.5949808755461682e-5,2953.3560688559296
2021-03-01,2953.117476757667,2.0997948120907448e-6,2953.1298786341526
2021-04-01,2963.9462811198623,3.1867569719007365e-6,2963.9651718615596
2021-05-01,2995.383371486556,2.592599864639911e-6,2995.398903140788
2021-06-01,3019.891555260984,2.7118898925119306e-6,3019.907934480838
2021-07-01,3020.901697989272,9.40666135691907e-7,3020.907381308296
2021-08-01,2962.5465225393664,1.3735462461331048e-6,2962.5546609265775
2021-09-01,2925.0071427232724,1.9628178104795893e-6,2925.0186252307844
