month,disp_share
2013-01-01,58.121101871101864
2013-02-01,58.55406044771419
2013-03-01,59.1402738096399
2013-04-01,59.22182875192923
2013-05-01,59.01598405310874
2013-06-01,58.13751884298078
2013-07-01,52.675116400164555
2013-08-01,48.5416379703614
2013-09-01,47.84919354164402
2013-10-01,47.03737562906618
2013-11-01,44.405618090037876
2013-12-01,43.78897641807286
2014-01-01,43.09472197833632
2014-02-01,41.57262541978424
2014-03-01,41.01703918033016
2014-04-01,40.732657166088934
2014-05-01,40.41415758314913
2014-06-01,38.54867161914877
2014-07-01,39.169010187605565
2014-08-01,39.699480927695134
2014-09-01,40.4889452223511
2014-10-01,38.007784268850884
2014-11-01,38.22779756296214
2014-12-01,39.899081999270564
2015-01-01,38.26896698461274
2015-02-01,35.72667713174873
2015-03-01,34.708580935158075
2015-04-01,35.690581298428675
2015-05-01,34.94330588431196
2015-06-01,34.729024807868434
2015-07-01,35.22416401145763
2015-08-01,35.038058162628566
2015-09-01,34.386973563572745
2015-10-01,34.29208832933032
2015-11-01,35.238091639968566
2015-12-01,35.371923527688246
2016-01-01,39.082825678663255
2016-02-01,42.12138225075467
2016-03-01,40.064378617317544
2016-04-01,40.866492548778616
2016-05-01,42.70598867094694
2016-06-01,43.381483410434726
2016-07-01,42.84480044604341
2016-08-01,42.50599485405229
2016-09-01,42.56481161424127
2016-10-01,38.36722010008095
2016-11-01,34.833849151474936
2016-12-01,39.82111036363356
2017-01-01,42.46914446966032
2017-02-01,43.13676517932808
2017-03-01,43.56122890523583
2017-04-01,43.385999450458414
2017-05-01,44.13063707021699
2017-06-01,45.53226400680816
2017-07-01,46.169063850124715
2017-08-01,47.0895125067166
2017-09-01,46.07356017563306
2017-10-01,46.54232100872015
2017-11-01,46.4267353386551
2017-12-01,44.007553431531576
2018-01-01,23.88356227326632
2018-02-01,22.970368810179885
2018-03-01,21.485205382357954
2018-04-01,20.425164116637873
2018-05-01,20.12024554761779
2018-06-01,19.376867372434212
2018-07-01,19.598375511326832
2018-08-01,18.020961556558426
2018-09-01,17.478505487199676
2018-10-01,16.564606580978467
2018-11-01,16.127581970369764
2018-12-01,15.993455646040083
2019-01-01,15.970621073588681
2019-02-01,15.959818821300178
2019-03-01,14.963167971548613
2019-04-01,13.648609412490675
2019-05-01,13.163726667778148
2019-06-01,12.408522325055756
2019-07-01,11.505920458878297
2019-08-01,10.754114635779226
2019-09-01,10.449527876532718
2019-10-01,10.839102851393706
2019-11-01,8.480226624172172
2019-12-01,7.301632984438276
2020-01-01,7.621757785194064
2020-02-01,11.851115296804576
2020-03-01,10.637433721162903
2020-04-01,7.887785281016494
2020-05-01,7.174394611259907
2020-06-01,7.587834394337654
2020-07-01,7.564942405407684
2020-08-01,7.416808781495448
2020-09-01,7.161956057305228
2020-10-01,6.89699066176046
2020-11-01,6.686708731430975
2020-12-01,6.679674018389763
2021-01-01,17.13227739279571
2021-02-01,17.749929590355904
2021-03-01,19.24308785217847
2021-04-01,19.742521435347197
2021-05-01,19.740562136810883
2021-06-01,20.479184173721883
2021-07-01,22.14881917292108
2021-08-01,21.865711001796864
2021-09-01,22.330505877865388
2021-10-01,22.43276709577832
2021-11-01,21.878490681143397
2021-12-01,20.94410850243693
2022-01-01,22.880704959649538
2022-02-01,22.91219512195122
2022-03-01,23.181107064246444
2022-04-01,22.866586186051755
2022-05-01,21.781235076657133
2022-06-01,20.933360698679436
2022-07-01,22.89123286178718
2022-08-01,22.4228002048847
2022-09-01,22.43858261024923
2022-10-01,22.136210755300034
2022-11-01,21.565331410292146
2022-12-01,21.329375199368837
2023-01-01,19.37585890650778
2023-02-01,19.40682907865751
2023-03-01,20.47012074165137
2023-04-01,20.455643947450326
2023-05-01,22.241326253678366
2023-06-01,24.261165441953178
2023-07-01,26.759649707859666
2023-08-01,27.85670153385931
2023-09-01,29.20257514874814
2023-10-01,27.355637897218564
2023-11-01,26.75079768457836
2023-12-01,26.612487792173972
