year_month,type,units_sum,cart_sum,units_na_cart,mL_sum
2016-06,Closed pod,369617,1030911,702,1042779.9899705001
2016-06,Disposable,283203,283409,10201,409164.807459
2016-06,Open refill,78443,78443,0,667643.568993
2016-07,Closed pod,475649,1323355,820,1331586.988388
2016-07,Disposable,356557,356765,11176,499998.588232
2016-07,Open refill,92892,92892,0,786048.1985155001
2016-08,Closed pod,394172,1089437,707,1093654.893283
2016-08,Disposable,291416,291605,8550,400358.54987
2016-08,Open refill,74398,74398,0,631601.8411105
2016-09,Closed pod,398784,1099317,645,1098217.3990570002
2016-09,Disposable,295536,295676,8384,397034.204906
2016-09,Open refill,77721,77721,0,646626.374436
2016-10,Closed pod,481948,1323210,855,1339817.0603295001
2016-10,Disposable,300019,300193,8833,416496.709842
2016-10,Open refill,95318,95318,0,784092.3101655
2016-11,Closed pod,385955,1052242,613,1081820.729982
2016-11,Disposable,206308,206454,6643,289000.10324
2016-11,Open refill,71838,71838,0,628235.2415335
2016-12,Closed pod,468743,1274965,686,1326599.4295490002
2016-12,Disposable,310173,310323,7588,397895.3232
2016-12,Open refill,82880,82880,0,775806.587981
2017-01,Closed pod,376960,1052289,2660,1090745.4806650002
2017-01,Disposable,278271,278272.056,5598,340965.983279
2017-01,Open refill,69699,69699,0,617242.1389095
2017-02,Closed pod,393874,1099126,3270,1141347.9474640002
2017-02,Disposable,298795,298795.042,5563,358807.767285
2017-02,Open refill,74287,74287,0,611138.514711
2017-03,Closed pod,417376,1161581,1782,1203831.5968015
2017-03,Disposable,322144,322147.238,5854,387938.96135399997
2017-03,Open refill,81878,81878,0,649267.9132625
2017-04,Closed pod,550129,1533110,3908,1594831.58141
2017-04,Disposable,421590,421596.14,6849,505002.22582299996
2017-04,Open refill,103340,103340,0,795346.3310275
2017-05,Closed pod,454509,1250608,3834,1290285.7493895001
2017-05,Disposable,359012,359014.042,5312,427095.959585
2017-05,Open refill,86111,86111,0,679186.5505845
2017-06,Closed pod,462741,1268946,3134,1304401.2712795
2017-06,Disposable,386828,386831.042,6505,467674.36545399996
2017-06,Open refill,93584,93584,0,731937.674655
2017-07,Closed pod,452786,1249501,5845,1288120.2188745001
2017-07,Disposable,388340,388344,5180,459884.970983
2017-07,Open refill,91602,91602,0,674973.389392
2017-08,Closed pod,430312,1192142,3551,1233450.3939145003
2017-08,Disposable,382971,382971.014,4997,455521.695647
2017-08,Open refill,92586,92586,0,664769.2652505
2017-09,Closed pod,526390,1433632,3066,1468993.2028825001
2017-09,Disposable,449736,449739,6106,529184.594615
2017-09,Open refill,111960,111960,0,789833.0093865
2017-10,Closed pod,431087,1127248,4013,1152630.321478
2017-10,Disposable,375321,375321,5159,425961.96452599997
2017-10,Open refill,97639,97639,0,647606.3229615
2017-11,Closed pod,458510,1172600,5781,1200896.8723544998
2017-11,Disposable,397346,397348,5584,448763.708587
2017-11,Open refill,104072,104072,0,661072.0797745
2017-12,Closed pod,616156,1589816,8758,1611544.5996319996
2017-12,Disposable,484271,484274,6331,540907.292021
2017-12,Open refill,127819,127819,0,826785.3574404999
2018-01,Closed pod,1739390,4520905,99260,4399437.418357501
2018-01,Disposable,545780,545788,6295,634507.0471089999
2018-01,Open refill,118336,118336,0,736868.7729295
2018-02,Closed pod,1861505,4898663,116332,4758165.643394003
2018-02,Disposable,555104,555109,6874,629612.2918415
2018-02,Open refill,123830,123830,0,741578.434564
2018-03,Closed pod,2698442,7292612,205259,7003316.776166506
2018-03,Disposable,738416,738427,8197,819046.0998994999
2018-03,Open refill,153378,153378,0,923629.9282155
2018-04,Closed pod,2380821,6714642,176982,6168894.355353002
2018-04,Disposable,611106,611112,6086,665644.7744184999
2018-04,Open refill,116431,116431,0,677506.1589825
2018-05,Closed pod,2660277,7773631,161898,6747645.944784499
2018-05,Disposable,670075,670079,5893,735745.5034719998
2018-05,Open refill,130084,130084,0,651644.310667
2018-06,Closed pod,3496876,10472935,208157,8984093.711823499
2018-06,Disposable,840435,840436,6552,912543.3088819997
2018-06,Open refill,167902,167902,0,786966.125671
2018-07,Closed pod,2899527,8695882,143943,7369692.5900845
2018-07,Disposable,706777,706779,4971,773909.5507709997
2018-07,Open refill,128077,128077,0,607555.337702
2018-08,Closed pod,3022909,9053594,158003,7907718.5233930005
2018-08,Disposable,664508,664508,5390,713440.0326364998
2018-08,Open refill,129940,129940,0,617316.161871
2018-09,Closed pod,3852818,11683775,227843,9930357.643902503
2018-09,Disposable,816048,816051,6231,874429.4000684997
2018-09,Open refill,153652,153652,0,724875.9218785
2018-10,Closed pod,3210644,9780226,213169,8240792.966227503
2018-10,Disposable,637416,637416,4620,690733.1969164999
2018-10,Open refill,108917,108917,0,478109.0951885
2018-11,Closed pod,3343038,10282954,194078,8642538.030304506
2018-11,Disposable,642823,642823,5664,708189.3633794999
2018-11,Open refill,103955,103955,0,521623.112885
2018-12,Closed pod,4105110,12651753,190954,10633060.495718516
2018-12,Disposable,781545,781548,8044,854064.4622804997
2018-12,Open refill,126805,126805,0,725395.7706305
2019-01,Closed pod,3203873,9717921,165061,8396439.205534505
2019-01,Disposable,608928,608931,6326,659754.124817
2019-01,Open refill,96350,96350,0,545176.0656225
2019-02,Closed pod,3237690,9804281,162828,8507679.195215005
