"","brand","type","within","composition","interaction","total"
"1","Juul","Refill",0,0,3.11951291337011,3.11951291337011
"2","Blu","Disposable",-0.222485799273982,-1.77198394035343,0.218267236942136,-1.77620250268528
"3","Blu","Starter Kit",-1.73592002589828,-1.73592002589828,1.73592002589828,-1.73592002589828
"4","Vuse","Refill",0,0,1.60377232109867,1.60377232109867
"5","Blu","Refill",0.327809290210232,-1.19764001574921,-0.327646322721598,-1.19747704826057
"6","Finiti","Disposable",-0.479396429672498,-0.479396429672498,0.479396429672498,-0.479396429672498
"7","Njoy","Refill",-0.00360693502176424,0.58325569318432,-0.147368587587213,0.432280170575344
"8","21st Century Smoke","Refill",-0.198144428486862,-0.198144428486862,0.198144428486862,-0.198144428486862
"9","21st Century Smoke","Starter Kit",-0.156071310578066,-0.156071310578066,0.156071310578066,-0.156071310578066
"10","Finiti","Refill",-0.137565407452012,-0.137565407452012,0.137565407452012,-0.137565407452012
"11","Mistic","Refill",-0.113281290474908,-0.113281290474908,0.113281290474908,-0.113281290474908
"12","Logic","Refill",0,0,0.105696075198255,0.105696075198255
"13","Nicotek","Refill",-0.0715723069597238,-0.0715723069597238,0.0715723069597238,-0.0715723069597238
"14","Nicotek","Starter Kit",-0.0423764912814128,-0.0423764912814128,0.0423764912814128,-0.0423764912814128
"15","Nicotek","Disposable",-0.0346250977767624,-0.0346250977767624,0.0346250977767624,-0.0346250977767624
"16","Mistic","Starter Kit",-0.0259560889974495,-0.0259560889974495,0.0259560889974495,-0.0259560889974495
"17","Njoy","Disposable",0.0540381464651313,-0.0566927579095037,-0.0122162600846958,-0.0148708715290682
"18","Logic","Starter Kit",0,0,0.00555363019054775,0.00555363019054775
"19","21st Century Smoke","Disposable",-0.000744207496515708,-0.000744207496515708,0.000744207496515708,-0.000744207496515708
"20","Cig2o","Starter Kit",-8.48884899021341e-05,-8.48884899021341e-05,8.48884899021341e-05,-8.48884899021341e-05
"21","Cig2o","Refill",-7.07050203537035e-05,-7.07050203537035e-05,7.07050203537035e-05,-7.07050203537035e-05
"22","Juul","Starter Kit",0,0,4.59242378742678e-05,4.59242378742678e-05
"23","V2 Cigs","Disposable",0,0,9.65451812258675e-07,9.65451812258675e-07
"24","Vuse","Starter Kit",0,0,1.61177264150029e-07,1.61177264150029e-07
