month,brand,n_upc,mL
2021-11-01,GLAS,16,53860.30000000001
2021-11-01,HELO,2,4809.200000000001
2021-11-01,HYDE,6,187.20000000000002
2021-11-01,HYPPE,16,422484
2021-11-01,IGNITE,20,274208.2
2021-11-01,JAK,2,16.25
2021-11-01,JUUL,20,3689728.3905599993
2021-11-01,LEAP,18,40866.25
2021-11-01,LOGIC,8,180618.59999999998
2021-11-01,MARKTEN,1,3.2
2021-11-01,MISTIC,2,14.995843
2021-11-01,MNGO,12,258308.8
2021-11-01,MR VAPOR,1,1.4
2021-11-01,NICOTEK,2,7
2021-11-01,NJOY,21,1942454.069235
2021-11-01,POP,24,54937.2
2021-11-01,PUFF,3,14.200000000000001
2021-11-01,PUUR VAPOR,31,160688
2021-11-01,RIP TIDE RIPSTICK,1,1.4
2021-11-01,SHENZEN HQD TECHNOLOGY,9,31498
2021-11-01,SHENZHEN GOLDREAMS TECHNOLOGY,4,136.5
2021-11-01,STICK,10,11229.399999999998
2021-11-01,SWITCH MODS,10,4934.8
2021-11-01,UNO,1,3.6
2021-11-01,V2 CIGS,2,5
2021-11-01,VAPIN PLUS,3,74.9688225
2021-11-01,VUSE,45,6507856.600000001
2021-12-01,21ST CENTURY SMOKE,1,67.2
2021-12-01,AIRIS,6,120
2021-12-01,BIDI,10,124279.39999999998
2021-12-01,BLU,29,349521.5082485
2021-12-01,BUD VAPE,8,19571
2021-12-01,DINNER LADY,6,2219.921017
2021-12-01,DUO XTRA,3,1033.5
2021-12-01,EPIC,2,1537.5
2021-12-01,GLAS,15,52666.90000000001
2021-12-01,HELO,2,4144.8
2021-12-01,HYDE,7,179.20000000000002
2021-12-01,HYPPE,16,405630
2021-12-01,IGNITE,20,300816
2021-12-01,JAK,2,8.75
2021-12-01,JUUL,20,3676311.9366959995
2021-12-01,LEAP,18,39370.75
2021-12-01,LOGIC,8,184120.2
2021-12-01,MISTIC,3,30.987529000000002
2021-12-01,MNGO,12,221438.40000000002
2021-12-01,NICOTEK,1,4
2021-12-01,NJOY,20,1931050.3215410002
2021-12-01,PACHA,1,676
2021-12-01,POP,25,50688.29999999999
2021-12-01,PUFF,5,14.9
2021-12-01,PUUR VAPOR,31,138938
2021-12-01,SHENZEN HQD TECHNOLOGY,9,35630
2021-12-01,SHENZHEN GOLDREAMS TECHNOLOGY,5,80.7
2021-12-01,STICK,10,10309.599999999999
2021-12-01,SWITCH MODS,10,3365.7000000000007
2021-12-01,V2 CIGS,1,1
2021-12-01,VAPIN PLUS,1,14.9937645
2021-12-01,VUSE,44,6614126.1
2021-12-01,ZEO,12,14451.199999999999
2022-01-01,21ST CENTURY SMOKE,2,197.937645
2022-01-01,AIRIS,5,48
2022-01-01,BANG,3,18
2022-01-01,BIDI,10,102095
2022-01-01,BLU,34,346116.2718365
2022-01-01,BUD VAPE,8,18009.5
2022-01-01,DINNER LADY,7,2303.4043890000003
2022-01-01,DUO XTRA,3,305.5
2022-01-01,EPIC,1,727.5
2022-01-01,GLAS,16,49799.100000000006
2022-01-01,HELO,2,3528.8
2022-01-01,HYDE,9,132.8
2022-01-01,HYPPE,16,377436
2022-01-01,IGNITE,22,289793.69999999995
2022-01-01,JAK,2,3.75
2022-01-01,JUUL,21,3557863.019504
2022-01-01,KRAVE,1,2
2022-01-01,LEAP,18,36853.5
2022-01-01,LOGIC,12,183403.8
2022-01-01,MARKTEN,1,0.8
2022-01-01,MNGO,12,171328.2
2022-01-01,NICOTEK,1,2
2022-01-01,NJOY,17,1729567.9999999998
2022-01-01,PACHA,2,4340
2022-01-01,POP,28,56978.7
2022-01-01,PUFF,2,10.4
2022-01-01,PUUR VAPOR,31,116846
2022-01-01,SHENZEN HQD TECHNOLOGY,9,37812
2022-01-01,SHENZHEN GOLDREAMS TECHNOLOGY,3,97.5
2022-01-01,STICK,9,9471
2022-01-01,SWITCH MODS,9,2852.74296
2022-01-01,V2 CIGS,2,3
2022-01-01,VAPIN PLUS,1,14.9937645
2022-01-01,VUSE,42,6015567
2022-01-01,ZEO,12,16588.8
2022-02-01,21ST CENTURY SMOKE,1,33.6
2022-02-01,AIRIS,6,186
2022-02-01,BANG,1,6
2022-02-01,BIDI,10,83480.6
2022-02-01,BLU,35,350867.603708
2022-02-01,BUD VAPE,8,19084
2022-02-01,DINNER LADY,7,1530.4334880000001
2022-02-01,DUO XTRA,3,149.5
2022-02-01,E S,1,1.3
2022-02-01,EPIC,1,648
2022-02-01,FAZE,1,9.995843
2022-02-01,FINITI,2,8.25
2022-02-01,GLAS,14,50823.5
2022-02-01,HELO,2,3819.2000000000003
2022-02-01,HYDE,9,121.60000000000001
2022-02-01,HYPPE,16,512892
2022-02-01,IGNITE,22,318667.6
2022-02-01,JAK,2,7.5
2022-02-01,JUUL,22,3618002.845048
2022-02-01,LEAP,17,35342.75
2022-02-01,LOGIC,7,182239.2
2022-02-01,MNGO,12,181152.8
2022-02-01,MR VAPOR,1,1.4
2022-02-01,NJOY,18,1763591.3869234999
2022-02-01,PACHA,7,9024
2022-02-01,POP,28,44068.40000000001
2022-02-01,PUFF,6,38.900000000000006
2022-02-01,PUUR VAPOR,31,107520
2022-02-01,SHENZEN HQD TECHNOLOGY,9,41108
2022-02-01,SHENZHEN GOLDREAMS TECHNOLOGY,3,11
2022-02-01,STICK,9,9613.8
2022-02-01,SWITCH MODS,9,2769.423262
2022-02-01,UNO,2,17.8
2022-02-01,V2 CIGS,1,1
2022-02-01,VAPIN PLUS,1,14.9937645
2022-02-01,VUSE,45,6303306.8
2022-02-01,ZEO,12,18870.4
2022-03-01,21ST CENTURY SMOKE,2,70.9937645
2022-03-01,AIRIS,10,428
2022-03-01,BANG,4,30
2022-03-01,BIDI,10,59584
2022-03-01,BLU,33,338078.135475
2022-03-01,BUD VAPE,8,19546
2022-03-01,CUE,1,4.9979215
2022-03-01,DINNER LADY,7,1864.437645
2022-03-01,DUO XTRA,3,71.5
2022-03-01,EPIC,1,4438.5
2022-03-01,FUME,7,296
2022-03-01,GLAS,16,49424.7
2022-03-01,HELO,2,3902.8
2022-03-01,HYPPE,16,558036
2022-03-01,IGNITE,22,334240.19999999995
2022-03-01,JAK,2,6.25
2022-03-01,JUUL,21,3622829.389208
2022-03-01,LEAP,18,34165
2022-03-01,LOGIC,8,183771.6
2022-03-01,MNGO,12,180795.4
2022-03-01,MR VAPOR,1,1.4
2022-03-01,NJOY,18,1744493.1999999997
2022-03-01,PACHA,7,21692
2022-03-01,POP,28,26276.899999999998
2022-03-01,PUFF,6,53.2
2022-03-01,PUUR VAPOR,31,107300
2022-03-01,RIP TIDE RIPSTICK,2,2.8
2022-03-01,SAVAGE,10,2660
2022-03-01,SHENZEN HQD TECHNOLOGY,9,44314
2022-03-01,STICK,9,17180.799999999996
2022-03-01,SWITCH MODS,8,2387.1936459999997
2022-03-01,UNO,1,1.8
2022-03-01,V2 CIGS,2,2
2022-03-01,VAPIN PLUS,3,59.975058
2022-03-01,VUSE,48,6366534.9
2022-03-01,ZEO,12,70259.20000000001
2022-04-01,21ST CENTURY SMOKE,1,43.2
2022-04-01,AIRIS,13,1012
2022-04-01,BANG,5,68
2022-04-01,BIDI,10,50474.19999999999
2022-04-01,BLU,31,384122.4912055
2022-04-01,BUD VAPE,8,24753
2022-04-01,CUE,1,24.9896075
2022-04-01,DINNER LADY,7,2546.4792150000003
2022-04-01,DUO XTRA,3,91
2022-04-01,EPIC,1,3850.5
2022-04-01,FUME,12,1008
2022-04-01,GLAS,15,60230.3
2022-04-01,HELO,2,3652
2022-04-01,HYPPE,17,723283
2022-04-01,IGNITE,22,394046
2022-04-01,JAK,2,3.75
2022-04-01,JUUL,23,4538555.98064
2022-04-01,LEAP,18,42633.25
2022-04-01,LOGIC,10,230332.80000000002
2022-04-01,MARKTEN,1,0.8
2022-04-01,MISTIC,2,31
2022-04-01,MNGO,12,197921.4
2022-04-01,NICOTEK,1,9.995843
2022-04-01,NJOY,19,2134583.573847
2022-04-01,PACHA,9,52873.286335
2022-04-01,POP,27,20410.199999999997
2022-04-01,PUFF,3,13
2022-04-01,PUUR VAPOR,31,112158
2022-04-01,SAVAGE,10,27004
2022-04-01,SHENZEN HQD TECHNOLOGY,9,54092
2022-04-01,SHENZHEN GOLDREAMS TECHNOLOGY,2,22.2
2022-04-01,STICK,9,31516.799999999996
2022-04-01,SWITCH MODS,8,3389.62445
2022-04-01,V2 CIGS,2,5
2022-04-01,VAPIN PLUS,1,14.9937645
2022-04-01,VUSE,49,8058699.500000001
2022-04-01,ZEO,12,106246.4
2022-05-01,21ST CENTURY SMOKE,2,66.1937645
2022-05-01,AIRIS,8,656
2022-05-01,BANG,1,6
2022-05-01,BIDI,10,25215.4
2022-05-01,BLU,32,254578.6219545
2022-05-01,BUD VAPE,8,16105
2022-05-01,DINNER LADY,7,904.475058
2022-05-01,DUO XTRA,2,13
2022-05-01,EPIC,1,853.5
2022-05-01,FAZE,2,19.991686
2022-05-01,FUME,12,712
2022-05-01,GLAS,14,45704.1
2022-05-01,HELO,2,1364
2022-05-01,HYPPE,16,586698
2022-05-01,IGNITE,24,206330.4
2022-05-01,JAK,1,1.25
2022-05-01,JUUL,22,3659346.551519999
2022-05-01,LEAP,17,33463.25
2022-05-01,LOGIC,9,185529.05
2022-05-01,MARKTEN,3,5.6000000000000005
2022-05-01,MISTIC,2,59.995843
2022-05-01,MNGO,14,102758.19999999998
2022-05-01,NJOY,17,1706178.5607704998
2022-05-01,PACHA,9,36348.224565
2022-05-01,POP,28,7155.399999999999
2022-05-01,PUFF,4,8.4
2022-05-01,PUUR VAPOR,31,78886
2022-05-01,SAVAGE,10,35136
2022-05-01,SHENZEN HQD TECHNOLOGY,9,45388
2022-05-01,SHENZHEN GOLDREAMS TECHNOLOGY,1,526.5
2022-05-01,STICK,9,34225.799999999996
2022-05-01,SWITCH MODS,7,2153.136882
2022-05-01,V2 CIGS,1,1
2022-05-01,VUSE,47,6500457.200000001
2022-05-01,ZEO,12,98918.40000000001
2022-06-01,21ST CENTURY SMOKE,1,33.6
2022-06-01,AIRIS,7,398
2022-06-01,BANG,2,8
2022-06-01,BIDI,10,14266
2022-06-01,BLU,30,238119.6589935
2022-06-01,BUD VAPE,8,4240
2022-06-01,DINNER LADY,5,53.987529
2022-06-01,DUO XTRA,1,13
2022-06-01,EPIC,1,552
2022-06-01,FUME,11,596
2022-06-01,GLAS,18,41965.30000000001
2022-06-01,HELO,2,488.4
2022-06-01,HYPPE,16,565602
2022-06-01,IGNITE,26,174029.59999999998
2022-06-01,JUUL,22,3768809.6823840006
2022-06-01,LEAP,18,32090.5
2022-06-01,LOGIC,9,188859.05
2022-06-01,MNGO,14,50275.59999999999
2022-06-01,NICOTEK,1,39.983372
2022-06-01,NJOY,18,1695130.7738469997
2022-06-01,PACHA,9,38343.739604999995
2022-06-01,POP,27,4253.4000000000005
2022-06-01,PUFF,4,12.3
2022-06-01,PUUR VAPOR,31,72992
2022-06-01,SAVAGE,10,43804
2022-06-01,SHENZEN HQD TECHNOLOGY,9,46289
2022-06-01,SHENZHEN GOLDREAMS TECHNOLOGY,1,182
2022-06-01,STICK,9,35565.59999999999
2022-06-01,SWITCH MODS,7,1421.1468
2022-06-01,V2 CIGS,1,1
2022-06-01,VUSE,47,6676659.799999999
2022-06-01,ZEO,23,75470.8
2022-07-01,21ST CENTURY SMOKE,2,80.5937645
2022-07-01,AIRIS,7,452
2022-07-01,BANG,1,2
2022-07-01,BIDI,10,10203.199999999997
2022-07-01,BLU,29,269377.754817
2022-07-01,BUD VAPE,7,1183
2022-07-01,DINNER LADY,3,54.479215
2022-07-01,DUO XTRA,2,13
2022-07-01,EPIC,1,594
2022-07-01,FUME,12,976
2022-07-01,GLAS,16,48885.2
2022-07-01,HELO,2,325.6
2022-07-01,HYPPE,16,695514
2022-07-01,IGNITE,26,226004.09999999998
2022-07-01,JUUL,21,3546900.716552
2022-07-01,LEAP,18,41140.5
2022-07-01,LOGIC,8,238374.75
2022-07-01,MARKTEN,1,1.6
2022-07-01,MISTIC,1,9.995843
2022-07-01,MNGO,14,37641.2
2022-07-01,NICOTEK,2,19.991686
2022-07-01,NJOY,19,2139664.5999999996
2022-07-01,PACHA,9,55030.148329999996
2022-07-01,POP,27,3644
2022-07-01,PUFF,6,23.7
2022-07-01,PUUR VAPOR,31,81712
2022-07-01,SAVAGE,10,64038
2022-07-01,SHENZEN HQD TECHNOLOGY,9,57252
2022-07-01,SHENZHEN GOLDREAMS TECHNOLOGY,2,180.9
2022-07-01,STICK,9,44962.399999999994
2022-07-01,SWITCH MODS,8,1638.270246
2022-07-01,VAPIN PLUS,1,29.987529
2022-07-01,VUSE,51,8737673.6
2022-07-01,ZEO,23,77372.8
2022-08-01,21ST CENTURY SMOKE,2,220.9812935
2022-08-01,AIRIS,5,258
2022-08-01,AVATA,1,312
2022-08-01,BANG,6,100
2022-08-01,BIDI,10,5311.5999999999995
2022-08-01,BLU,33,187250.8850435
2022-08-01,BUD VAPE,5,217
2022-08-01,DINNER LADY,5,33.995843
2022-08-01,DUO XTRA,2,19.5
2022-08-01,EPIC,1,91.5
2022-08-01,ESCO BARS,8,138
2022-08-01,FUME,11,856
2022-08-01,GLAS,13,33488
2022-08-01,GREEN SMOKE,1,1
2022-08-01,HELO,2,149.60000000000002
2022-08-01,HYPPE,17,537168
2022-08-01,IGNITE,26,89727.69999999998
2022-08-01,JAK,1,3.75
2022-08-01,JUUCY,3,90
2022-08-01,JUUL,21,2849867.474488
2022-08-01,LEAP,18,31836
2022-08-01,LOGIC,7,187518
2022-08-01,MNGO,14,20173
2022-08-01,NJOY,16,1679434.4000000001
2022-08-01,PACHA,9,46204.664059999996
2022-08-01,POP,28,2354.9
2022-08-01,PUFF,3,6.6
2022-08-01,PUUR VAPOR,33,61326
2022-08-01,RIP TIDE RIPSTICK,1,1.4
2022-08-01,SAVAGE,10,50244
2022-08-01,SHENZEN HQD TECHNOLOGY,13,45884
2022-08-01,SHENZHEN GOLDREAMS TECHNOLOGY,1,71.5
2022-08-01,STICK,9,35414.399999999994
2022-08-01,SWITCH MODS,8,1120.7813979999999
2022-08-01,VAPIN PLUS,1,14.9937645
2022-08-01,VUSE,50,6943964.300000001
2022-08-01,ZEO,23,65124.400000000016
2022-09-01,21ST CENTURY SMOKE,1,25.6
2022-09-01,AIRIS,4,298
2022-09-01,AVATA,1,7428
2022-09-01,BANG,2,22
2022-09-01,BIDI,10,3784.2
2022-09-01,BLU,34,179871.7365705
2022-09-01,BUD VAPE,4,56
2022-09-01,DINNER LADY,4,15
2022-09-01,DUO XTRA,2,19.5
2022-09-01,EPIC,1,66
2022-09-01,ESCO BARS,9,8196
2022-09-01,FINITI,1,1.75
2022-09-01,FUME,17,1400
2022-09-01,GLAS,15,30539.6
2022-09-01,HELO,2,123.2
2022-09-01,HYPPE,17,493032
2022-09-01,IGNITE,26,44093.899999999994
2022-09-01,JAK,1,1.25
2022-09-01,JUUCY,3,624
2022-09-01,JUUL,20,2809138.456719999
2022-09-01,LEAP,18,32226
2022-09-01,LOGIC,7,186536.45
2022-09-01,MNGO,14,16068.4
2022-09-01,NJOY,19,1672257.9869235
2022-09-01,PACHA,9,37371.285875
2022-09-01,POP,27,1666.1
2022-09-01,PUFF,4,25.599999999999998
2022-09-01,PUUR VAPOR,33,56534
2022-09-01,SAVAGE,10,30234
2022-09-01,SHENZEN HQD TECHNOLOGY,14,47658
2022-09-01,SHENZHEN GOLDREAMS TECHNOLOGY,3,1160
2022-09-01,STICK,9,33994.799999999996
2022-09-01,SWITCH MODS,9,899.750548
2022-09-01,VUSE,50,6829335.4
2022-09-01,ZEO,23,57326.80000000001
2022-10-01,21ST CENTURY SMOKE,1,81.60000000000001
2022-10-01,AIRIS,4,64
2022-10-01,AVATA,1,31368
2022-10-01,BANG,2,12
2022-10-01,BIDI,10,3578.399999999999
2022-10-01,BLU,32,208521.7416605
2022-10-01,BO VAPING,1,5.6
2022-10-01,BUD VAPE,2,105
2022-10-01,CUE,2,9.995843
2022-10-01,DUO XTRA,2,19.5
2022-10-01,EPIC,1,16.5
2022-10-01,ESCO BARS,9,22818
2022-10-01,FUME,20,2664
2022-10-01,GLAS,15,33324.2
2022-10-01,HELO,2,233.20000000000002
2022-10-01,HYPPE,17,505272
2022-10-01,IGNITE,26,49210.299999999996
2022-10-01,JAK,1,2.5
2022-10-01,JUUCY,3,666
2022-10-01,JUUL,21,3386273.804472
2022-10-01,LEAP,17,38512.5
2022-10-01,LOGIC,7,233925.75
2022-10-01,MADURO DISTRIBUTORS,6,50979.5
2022-10-01,MNGO,14,15143.599999999999
2022-10-01,NJOY,17,2042538.6
2022-10-01,PACHA,9,40095.528355
2022-10-01,POP,27,1633.4999999999995
2022-10-01,PUFF,3,4
2022-10-01,PUUR VAPOR,33,53028
2022-10-01,SAVAGE,10,17254
2022-10-01,SHENZEN HQD TECHNOLOGY,21,62374
2022-10-01,SHENZHEN GOLDREAMS TECHNOLOGY,5,5420
2022-10-01,STICK,9,34512.799999999996
2022-10-01,SWITCH MODS,9,655.33574
2022-10-01,V2 CIGS,1,1
2022-10-01,VAPIN PLUS,2,44.9812935
2022-10-01,VUSE,48,8296218.600000001
2022-10-01,ZEO,24,86010.8
2022-11-01,21ST CENTURY SMOKE,1,48
2022-11-01,AVATA,1,57492
2022-11-01,BANG,5,34
2022-11-01,BIDI,10,1888.5999999999997
2022-11-01,BLU,28,164469.3774995
2022-11-01,BO VAPING,1,2.0999999999999996
2022-11-01,BUD VAPE,2,49
2022-11-01,DINNER LADY,2,21.491686
2022-11-01,EPIC,1,16.5
2022-11-01,ESCO BARS,9,26496
2022-11-01,FUME,19,2220
2022-11-01,GLAS,15,23205
2022-11-01,HELO,2,74.80000000000001
2022-11-01,HYPPE,17,336534
2022-11-01,IGNITE,25,34915
2022-11-01,IMIRACLE,1,26
2022-11-01,JAK,1,1.25
2022-11-01,JUUCY,3,510
2022-11-01,JUUL,19,2669415.17444
2022-11-01,LEAP,16,29399.25
2022-11-01,LOGIC,9,184312.85
2022-11-01,MADURO DISTRIBUTORS,8,51941.5
2022-11-01,MISTIC,1,5
2022-11-01,MNGO,14,9427.4
2022-11-01,NICOTEK,1,19.991686
2022-11-01,NJOY,16,1593880.7999999998
2022-11-01,PACHA,9,24858.316875
2022-11-01,POP,27,848.9999999999999
2022-11-01,PUFF,1,3.2
2022-11-01,PUUR VAPOR,33,30072
2022-11-01,SAVAGE,10,5150
2022-11-01,SHENZEN HQD TECHNOLOGY,20,51161
2022-11-01,SHENZHEN GOLDREAMS TECHNOLOGY,4,1074
2022-11-01,STAGBAR,10,2561
2022-11-01,STICK,9,25128.599999999995
2022-11-01,SWITCH MODS,9,487.62586799999997
2022-11-01,VAPIN PLUS,2,44.9812935
2022-11-01,VUSE,46,6556181.200000001
2022-11-01,ZEO,23,71792.4
2022-12-01,21ST CENTURY SMOKE,1,64
2022-12-01,AVATA,13,60360
2022-12-01,BANG,1,4
2022-12-01,BIDI,10,1468.5999999999997
2022-12-01,BLU,31,199652.78167599998
2022-12-01,BO VAPING,1,1.4
2022-12-01,BUD VAPE,4,42
2022-12-01,DUO XTRA,2,19.5
2022-12-01,EPIC,1,75
2022-12-01,ESCO BARS,9,37908
2022-12-01,FUME,18,1636
2022-12-01,GLAS,13,27047.800000000003
2022-12-01,HELO,1,22
2022-12-01,HYPPE,17,390306
2022-12-01,IGNITE,22,40294.399999999994
2022-12-01,IMIRACLE,2,897
2022-12-01,JAK,1,1.25
2022-12-01,JUUCY,3,438
2022-12-01,JUUL,19,3286129.109512
2022-12-01,LEAP,16,37016.25
2022-12-01,LOGIC,6,231336
2022-12-01,MADURO DISTRIBUTORS,8,67216.5
2022-12-01,MNGO,14,10431.599999999999
2022-12-01,NJOY,21,1966516.3738469998
2022-12-01,PACHA,9,26529.983464999998
2022-12-01,POP,28,775.7
2022-12-01,PUFF,2,6.4
2022-12-01,PUUR VAPOR,33,27624
2022-12-01,SAVAGE,10,2982
2022-12-01,SHENZEN HQD TECHNOLOGY,21,61636
2022-12-01,SHENZHEN GOLDREAMS TECHNOLOGY,3,320
2022-12-01,STAGBAR,15,42471
2022-12-01,STICK,9,29152.199999999997
2022-12-01,SWITCH MODS,12,436.90365600000007
2022-12-01,VAPIN PLUS,1,14.9937645
2022-12-01,VUSE,48,8200713.2
2022-12-01,ZEO,24,86974.59999999999
2023-01-01,21ST CENTURY SMOKE,2,46.9937645
2023-01-01,AVATA,12,31008
2023-01-01,BIDI,10,760.2
2023-01-01,BLU,29,142263.2836075
2023-01-01,BUD VAPE,1,7
2023-01-01,EPIC,2,13.5
2023-01-01,ESCO BARS,9,32376
2023-01-01,FUME,18,1180
2023-01-01,GLAS,13,19553.3
2023-01-01,HELO,2,66
2023-01-01,HYPPE,17,271765
2023-01-01,IGNITE,21,29592.8
2023-01-01,IMIRACLE,3,4238
2023-01-01,JUUCY,2,114
2023-01-01,JUUL,17,2443421.19128
2023-01-01,LEAP,16,28382
2023-01-01,LOGIC,6,179387.4
2023-01-01,MADURO DISTRIBUTORS,7,46683
2023-01-01,MNGO,14,7208.799999999999
2023-01-01,NJOY,20,1637561.2
2023-01-01,PACHA,9,23878.377495
2023-01-01,POP,22,246.00000000000006
2023-01-01,PUUR VAPOR,32,13940
2023-01-01,SAVAGE,10,1374
2023-01-01,SHENZEN HQD TECHNOLOGY,21,43562
2023-01-01,SHENZHEN GOLDREAMS TECHNOLOGY,2,50
2023-01-01,STAGBAR,15,48100
2023-01-01,STICK,10,25520.599999999995
2023-01-01,SWITCH MODS,11,546.151782
2023-01-01,VAPIN PLUS,1,14.9937645
2023-01-01,VUSE,47,6548765.2
2023-01-01,ZEO,24,61009.19999999999
2023-02-01,21ST CENTURY SMOKE,1,16
2023-02-01,AVATA,12,29220
2023-02-01,BIDI,10,1184.3999999999999
2023-02-01,BLU,28,137779.49806850002
2023-02-01,BUD VAPE,2,21
2023-02-01,CUE,1,49.979215
2023-02-01,EPIC,2,13.5
2023-02-01,ESCO BARS,9,34458
2023-02-01,FUME,16,728
2023-02-01,GLAS,14,18829.2
2023-02-01,HELO,1,8.8
2023-02-01,HYPPE,20,259117
2023-02-01,IGNITE,20,38419.1
2023-02-01,IMIRACLE,2,5863
2023-02-01,JUUCY,2,48
2023-02-01,JUUL,19,2408592.5979359993
2023-02-01,LEAP,16,28099.25
2023-02-01,LOGIC,8,182928.59999999998
2023-02-01,MADURO DISTRIBUTORS,7,93138.5
2023-02-01,MNGO,13,7251.799999999999
2023-02-01,NJOY,20,1637847.3000000003
2023-02-01,PACHA,9,31476.619515
2023-02-01,POP,18,262.09999999999997
2023-02-01,PUUR VAPOR,32,8422
2023-02-01,SAVAGE,10,590
2023-02-01,SHENZEN HQD TECHNOLOGY,21,43722
2023-02-01,STAGBAR,16,55822
2023-02-01,STICK,10,20623.399999999998
2023-02-01,SWITCH MODS,7,537.039442
2023-02-01,VUSE,45,6559507.599999999
2023-02-01,ZEO,24,59767.600000000006
2023-03-01,21ST CENTURY SMOKE,1,48
2023-03-01,AVATA,12,31524
2023-03-01,BIDI,10,657.9999999999999
2023-03-01,BLU,27,139197.2011225
2023-03-01,BUD VAPE,2,28
2023-03-01,DUO XTRA,2,13
2023-03-01,EPIC,2,75
2023-03-01,ESCO BARS,9,39930
2023-03-01,FUME,14,636
2023-03-01,GLAS,14,17491.499999999996
2023-03-01,HELO,1,4.4
2023-03-01,HYDE,1,12.8
2023-03-01,HYPPE,22,258691
2023-03-01,IGNITE,22,41474.7
2023-03-01,IMIRACLE,4,5980
2023-03-01,JAK,1,1.25
2023-03-01,JUUCY,2,54
2023-03-01,JUUL,17,2389546.7304640003
2023-03-01,LEAP,16,27522.25
2023-03-01,LOGIC,6,183980.4
2023-03-01,MADURO DISTRIBUTORS,7,101666.5
2023-03-01,MNGO,13,6196.8
2023-03-01,NJOY,21,1664580.1999999997
2023-03-01,PACHA,9,17647.84753
2023-03-01,POP,17,146.90000000000003
2023-03-01,PUUR VAPOR,32,5582
2023-03-01,SAVAGE,10,674
2023-03-01,SHENZEN HQD TECHNOLOGY,24,44846
2023-03-01,SHENZHEN GOLDREAMS TECHNOLOGY,2,60
2023-03-01,STAGBAR,18,70252
2023-03-01,STICK,10,19412.399999999998
2023-03-01,SWITCH MODS,11,308.16910399999995
2023-03-01,VUSE,49,6602053.799999999
2023-03-01,ZEO,23,53077.80000000002
2023-04-01,21ST CENTURY SMOKE,2,181.937645
2023-04-01,AVATA,12,34992
2023-04-01,BIDI,10,579.6
2023-04-01,BLU,26,169662.428922
2023-04-01,BUD VAPE,1,21
2023-04-01,CUE,1,4.9979215
2023-04-01,EPIC,2,13.5
2023-04-01,ESCO BARS,9,72228
2023-04-01,FUME,15,936
2023-04-01,GLAS,14,19371.3
2023-04-01,HELO,2,8.8
2023-04-01,HYDE,7,33.60000000000001
2023-04-01,HYPPE,20,313279
2023-04-01,IGNITE,22,53453.99999999999
2023-04-01,IMIRACLE,7,6515
2023-04-01,JUUCY,1,12
2023-04-01,JUUL,20,2963690.505439999
2023-04-01,LEAP,17,33479.5
2023-04-01,LOGIC,6,226042.80000000002
2023-04-01,MADURO DISTRIBUTORS,7,125989.5
2023-04-01,MISTIC,2,19.991686
2023-04-01,MNGO,11,6620.8
2023-04-01,NJOY,20,2073702
2023-04-01,PACHA,9,22726.286565000002
2023-04-01,POP,17,123.00000000000001
2023-04-01,POSH,1,5
2023-04-01,PUUR VAPOR,30,2946
2023-04-01,SAVAGE,12,565
2023-04-01,SHENZEN HQD TECHNOLOGY,22,74035
2023-04-01,STAGBAR,18,78507
2023-04-01,STICK,10,23361.8
2023-04-01,SWITCH MODS,11,371.920932
2023-04-01,VUSE,50,8080570.2
2023-04-01,ZEO,24,70580.8
2023-05-01,21ST CENTURY SMOKE,1,67.2
2023-05-01,AVATA,12,25980
2023-05-01,BIDI,10,1559.6
2023-05-01,BLU,26,131998.49491
2023-05-01,DUO XTRA,1,6.5
2023-05-01,EPIC,2,34.5
2023-05-01,ESCO BARS,10,64764
2023-05-01,FUME,16,848
2023-05-01,GLAS,12,15343.9
2023-05-01,HELO,1,4.4
2023-05-01,HYDE,6,22.4
2023-05-01,HYPPE,20,234000
2023-05-01,IGNITE,18,44656.7
2023-05-01,IMIRACLE,13,5639.5
2023-05-01,JAK,1,2.5
2023-05-01,JUUL,19,2303366.9608319993
2023-05-01,LEAP,16,25212.75
2023-05-01,LOGIC,6,182586.6
2023-05-01,MADURO DISTRIBUTORS,7,100412
2023-05-01,MNGO,13,5708.2
2023-05-01,NICOTEK,1,9.995843
2023-05-01,NJOY,18,1649366.2
2023-05-01,PACHA,8,13796.862915
2023-05-01,POP,12,167.69999999999996
2023-05-01,POSH,1,5670
2023-05-01,PUUR VAPOR,29,1182
2023-05-01,SAVAGE,9,6088
2023-05-01,SHENZEN HQD TECHNOLOGY,22,65696
2023-05-01,SHENZHEN GOLDREAMS TECHNOLOGY,1,30
2023-05-01,STAGBAR,18,60528
2023-05-01,STICK,10,18257.4
2023-05-01,SWITCH MODS,11,245.78514599999997
2023-05-01,VUSE,47,6634201.100000002
2023-05-01,ZEO,29,51434.80000000001
2023-06-01,21ST CENTURY SMOKE,1,48
2023-06-01,AVATA,12,25176
2023-06-01,BIDI,11,13372.8
2023-06-01,BLU,26,120540.961916
2023-06-01,BO VAPING,1,2.8
2023-06-01,BREEZE,18,57876
2023-06-01,EPIC,1,4.5
2023-06-01,ESCO BARS,10,65958
2023-06-01,FUME,16,648
2023-06-01,GLAS,13,14683.5
2023-06-01,HYDE,6,22.400000000000002
2023-06-01,HYPPE,18,252385
2023-06-01,IGNITE,20,42379.399999999994
2023-06-01,IMIRACLE,11,5881
2023-06-01,JUICY,1,1105
