brand,k,corr
BLU,-4,0.14835020890525913
BLU,-3,-0.032435414964229844
BLU,-2,-0.09925852811649011
BLU,-1,-0.21726234517213192
BLU,0,-0.13251942749605197
BLU,1,0.035200531076502214
BLU,2,-0.014084221056179012
BLU,3,-0.08748507882637363
BLU,4,-0.07837156614543812
JUUL,-4,0.13662147424668067
JUUL,-3,0.2390389528947799
JUUL,-2,0.29715109189586714
JUUL,-1,0.2585138554096034
JUUL,0,0.19697895328625836
JUUL,1,0.046320291717104965
JUUL,2,0.11605796549752187
JUUL,3,0.28685739850414776
JUUL,4,0.10713776724217508
LOGIC,-4,-0.05255258418889499
LOGIC,-3,-0.07330257030758322
LOGIC,-2,0.10066302894556736
LOGIC,-1,0.07435288762388417
LOGIC,0,0.0925698142604571
LOGIC,1,-0.027936806689930323
LOGIC,2,0.03292736558276819
LOGIC,3,0.024381330703935916
LOGIC,4,0.008826657854579046
MISTIC,-4,-0.014616417415975302
MISTIC,-3,-0.01343741712666173
MISTIC,-2,0.009738029297130878
MISTIC,-1,0.03493106491660511
MISTIC,0,0.010022092071965525
MISTIC,1,0.002267667146524684
MISTIC,2,0.015333020693394251
MISTIC,3,0.034617653780525705
MISTIC,4,0.004084420435390324
NJOY,-4,0.11728060737640049
NJOY,-3,-0.018511028041817788
NJOY,-2,-0.07244561681641644
NJOY,-1,0.01958744800778123
NJOY,0,-0.05430131899318411
NJOY,1,0.026735540184333925
NJOY,2,0.006610181490952844
NJOY,3,-0.004464794528777934
NJOY,4,0.047110099173193844
VUSE,-4,-0.024633143817703356
VUSE,-3,-0.04356998134531527
VUSE,-2,-0.048169536253521696
VUSE,-1,-0.0764383142990595
VUSE,0,0.16144737088744046
VUSE,1,0.038893405883912845
VUSE,2,0.14054780043090065
VUSE,3,-0.08814910330166034
VUSE,4,-0.14952038438973717
