month,brand,mgml_mL-sales-weighted,mgml_UPC-unweighted,cap_mL-sales-weighted,cap_UPC-unweighted,Nhom_mL-sales-weighted,Nhom_UPC-unweighted
2013-01-01,21ST CENTURY SMOKE,10.88171301645436,10.759111111111112,2.5845675917246194,3.24,28.124522804775886,34.85952
2013-01-01,BLU,14.021669753638713,14.765714285714287,3.6309832838720624,4.142857142857143,50.91244848743667,61.172244897959196
2013-01-01,CIG2O,12.434285714285712,13.259999999999998,2.7142857142857144,2.5,33.75020408163265,33.14999999999999
2013-01-01,E SWISHER,12.239999999999997,12.239999999999997,3,3,36.71999999999999,36.71999999999999
2013-01-01,FINITI,9.558704319196329,8.927891156462586,2.997210828854681,3.589285714285714,28.649452095315244,32.04475218658892
2013-01-01,FLAVORED MIST,0.9796072227224859,0.979607222722486,14.9937645,14.9937645,14.688000000000002,14.688000000000004
2013-01-01,GREEN SMOKE,16.437582388258846,17.252571428571432,2.8065376917945297,2.142857142857143,46.132694534626395,36.96979591836735
2013-01-01,LOGIC,13.600000000000003,13.600000000000003,1.2,1.2,16.320000000000004,16.320000000000004
2013-01-01,MISTIC,9.983738071566862,10.626133333333332,4.479495727965196,3.611111111111111,44.72211204070724,38.37214814814814
2013-01-01,NICOTEK,11.686866914471352,9.269882166816746,2.5941822421040697,3.6991686,30.317862615355164,34.290857037188474
2013-01-01,NJOY,19.888431145748687,14.931789473684212,3.101916560467743,4.776470588235294,61.6922539327203,71.321253250774
2013-01-01,QUIK E-CIG,2.9376000000000007,2.9376000000000007,5,5,14.688000000000002,14.688000000000002
2013-02-01,21ST CENTURY SMOKE,10.88,10.330505050505051,2.603565414940532,3.0272727272727273,28.32679171455299,31.27325619834711
2013-02-01,BLU,13.956862683266179,14.646153846153847,3.6936000392047403,4.076923076923077,51.55106855408714,59.711242603550296
2013-02-01,CIG2O,12.867692307692305,13.056,2.6923076923076925,2.4,34.643786982248514,31.334399999999995
2013-02-01,E SWISHER,12.239999999999997,12.239999999999997,3,3,36.71999999999999,36.71999999999999
2013-02-01,FINITI,9.555081932073389,9.6196336996337,3.1367049097351103,3.5,29.971472409255842,33.668717948717955
2013-02-01,FLAVORED MIST,0.9796072227224861,0.979607222722486,14.993764499999997,14.9937645,14.688000000000004,14.688000000000004
2013-02-01,GREEN SMOKE,16.414210463018645,17.252571428571432,2.824413710162357,2.142857142857143,46.36052107324027,36.96979591836735
2013-02-01,LOGIC,13.032676215250577,9.817011494252876,1.502433635252453,3.216666666666667,19.580731103147105,31.57805363984675
2013-02-01,MISTIC,9.52463502083518,10.626133333333334,4.2188225906552,3.611111111111111,40.18274539364512,38.37214814814815
2013-02-01,NICOTEK,9.73182411926057,6.05792338275021,4.068286527133543,6.2919168823529414,39.59184894882104,38.11595040392668
2013-02-01,NJOY,21.937663300557208,14.590026315789475,2.639543745932663,4.7625,57.90542196536228,69.48500032894738
2013-02-01,QUIK E-CIG,2.9376000000000007,2.9376000000000007,5,5,14.688000000000002,14.688000000000002
2013-03-01,21ST CENTURY SMOKE,10.881322895818437,10.074074074074074,2.6115857375294573,3.225,28.417507680172164,32.488888888888894
2013-03-01,BLU,13.979904511569098,14.765714285714287,3.6775051752814996,4.142857142857143,51.41117119123654,61.172244897959196
2013-03-01,CIG2O,12.391111111111108,13.056,2.888888888888889,2.4,35.79654320987653,31.334399999999995
2013-03-01,E SWISHER,12.239999999999997,12.239999999999997,3,3,36.71999999999999,36.71999999999999
2013-03-01,FINITI,9.556757047389237,9.839492063492065,3.1028262272305613,3.5416666666666665,29.652956413909823,34.84820105820106
2013-03-01,FLAVORED MIST,0.979607222722486,0.979607222722486,14.9937645,14.9937645,14.688000000000004,14.688000000000004
2013-03-01,GREEN SMOKE,16.43455384615385,17.252571428571432,2.8173076923076925,2.142857142857143,46.301194970414215,36.96979591836735
2013-03-01,LOGIC,5.805829699334406,9.344137931034485,5.354980491163644,3.46875,31.090104774954227,32.41247844827587
2013-03-01,MISTIC,9.300820516404038,10.626133333333334,4.010918556304811,3.611111111111111,37.30483359810545,38.37214814814815
2013-03-01,NICOTEK,7.244532481061993,6.05792338275021,5.8801421477972635,6.2919168823529414,42.59888078297891,38.11595040392668
2013-03-01,NJOY,22.44118220409987,14.590026315789475,2.496263196112383,4.7625,56.019097213346676,69.48500032894738
2013-03-01,QUIK E-CIG,2.937600000000001,2.937600000000001,5,5,14.688000000000006,14.688000000000006
2013-04-01,21ST CENTURY SMOKE,10.877584713201772,9.671111111111111,2.6230434708363464,3.225,28.532377560433158,31.189333333333334
2013-04-01,BLU,13.990997378317548,14.998857142857144,3.685707546836997,3.8571428571428568,51.56672462504162,57.85273469387755
