"type","s0","x0","s1","x1","within","composition","interaction","total","base_month","comp_month"
"Closed pod",0.653603255141032,49.0619708793396,0.774663021721366,106.332488811067,37.4321969437899,5.939430742624,6.93315553274975,50.3047832191636,2013-01-01,2023-12-01
"Disposable",0.234452261389797,21.4076107587086,0.225336978278634,178.902951579012,36.925138813677,-0.195136432799213,-1.43561462026621,35.2943877606116,2013-01-01,2023-12-01
"Open refill",0.111944483469171,16.7209134150407,0,0,-1.87181401537945,-1.87181401537945,1.87181401537945,-1.87181401537945,2013-01-01,2023-12-01
