"type","s0","x0","s1","x1","within","composition","interaction","total","base_month","comp_month"
"Closed pod",0.653603255141032,4.42622948074058,0.774663021721366,5.05055126297035,0.408058749120829,0.535838307769447,0.0755802492277542,1.01947730611803,2013-01-01,2023-12-01
"Disposable",0.234452261389797,1.29110631169706,0.225336978278634,5.85452102407297,1.069902898976,-0.0117687995577284,-0.041596817056954,1.01653728236132,2013-01-01,2023-12-01
"Open refill",0.111944483469171,1.7237010635059,0,0,-0.192958825209428,-0.192958825209428,0.192958825209428,-0.192958825209428,2013-01-01,2023-12-01
