month,HHI_all,unknown_share,HHI_known
2013-01-01,3882.193707845334,4.868925291531925e-4,3885.9745199004583
2013-02-01,4017.1872354738252,2.590923681187707e-4,4019.2690182324254
2013-03-01,3995.089184662655,1.926593936290179e-4,3996.628641241968
2013-04-01,3881.2584796673113,2.10253488580545e-4,3882.890648562171
2013-05-01,3696.0647055693507,1.7735869352709257e-4,3697.3757981853328
2013-06-01,3460.40901516662,2.5869008440577805e-4,3462.199387572304
2013-07-01,3431.0819162138246,2.9674532636366207e-4,3433.118256918324
2013-08-01,3615.340892573112,2.726864691050808e-4,3617.312664454434
2013-09-01,3547.2544132616836,2.9261319068190977e-4,3549.330414929415
2013-10-01,3260.7000784105308,2.723838886470669e-4,3262.4763864373645
2013-11-01,3030.833063952165,2.67373999338482e-4,3032.4537308406093
2013-12-01,2873.6597261864868,2.0237360788929608e-4,2874.822775411331
2014-01-01,2754.4249783829414,1.8655204485340098e-4,2755.4526051079083
2014-02-01,2653.7211818949495,2.2670011666054085e-4,2654.9242748067963
2014-03-01,2499.877938824795,1.9980997011476525e-4,2500.8768399928053
2014-04-01,2374.7240615297974,2.691190588114072e-4,2376.0020200517533
2014-05-01,2304.0537601940127,5.940129780472196e-4,2306.7899440545216
2014-06-01,2131.072441115053,0.0016255739831590689,2137.991292628072
2014-07-01,1982.4157071974782,0.003645697098163076,1996.815827566931
2014-08-01,1764.4904079541568,0.017163556067280886,1823.6064629742496
2014-09-01,1476.3670888970698,0.050522551748154204,1609.3509235000752
2014-10-01,1440.139590157429,0.04771020776190544,1562.9572808180635
2014-11-01,1426.6940574591868,0.04879895185884194,1550.5154357827032
2014-12-01,1348.0505004426911,0.05140774846544921,1468.7518301040038
2015-01-01,1359.5501086971376,0.0669955115889726,1510.2470841680856
2015-02-01,1326.8319928416008,0.06583101514094782,1470.7647545599602
2015-03-01,1341.667911895984,0.059696702277174905,1477.1260259658072
2015-04-01,1361.6768270988784,0.0607976185095013,1501.770378491485
2015-05-01,1394.8049212186183,0.060494280491476725,1538.7492577977825
2015-06-01,1421.9862643920878,0.05752948553208,1563.6237531160891
2015-07-01,1646.3251808001019,0.05672375156871,1814.1195974239236
2015-08-01,1606.927322073477,0.05813216270675664,1773.3143932931455
2015-09-01,1421.9379175191307,0.06664528065986496,1581.266545518768
2015-10-01,1460.4356087921376,0.0601005155464857,1612.2901154713522
2015-11-01,1494.2517559030753,0.05507777242573728,1639.54775372197
2015-12-01,1502.802810251492,0.053428172713014976,1645.3795041292574
2016-01-01,1477.6638939227912,0.048607667319477785,1606.4089537184923
2016-02-01,1585.9330704526376,0.052406786117219044,1735.6178394650954
2016-03-01,1554.7090654240706,0.05273751343989198,1701.644968908759
2016-04-01,1590.01481188213,0.05215974754238419,1739.544110524913
2016-05-01,1603.257654821648,0.051621429455370675,1752.914746821173
2016-06-01,1595.7603191268165,0.04881662934376334,1737.4192048534394
2016-07-01,1595.137549033517,0.0433273657286643,1722.3843301411814
2016-08-01,1624.577470181136,0.04092397072508817,1747.9700570431112
2016-09-01,1620.766206870774,0.039791284982398964,1740.7064986856155
2016-10-01,1577.5063777595728,0.035495283857546425,1682.2087390811741
2016-11-01,1609.4437252536766,0.033919941724642105,1712.118093949545
2016-12-01,1615.583553129366,0.030946974889198134,1710.2208173975243
2017-01-01,1545.6636638359391,0.02784357076243546,1627.2673227295768
2017-02-01,1492.1314402791345,0.026865240143012177,1568.0335082285376
2017-03-01,1501.5360063583096,0.026555404394438348,1577.134839283477
2017-04-01,1447.5866436718152,0.024011203392258755,1513.6370918024134
2017-05-01,1426.7477232404942,0.022466166918987226,1487.799819657694
2017-06-01,1466.355032854075,0.026260041875950463,1539.2386335485135
2017-07-01,1452.376622398623,0.02159324341703648,1512.32060785699
2017-08-01,1476.3090692894486,0.02148749863556668,1537.0364097547842
2017-09-01,1446.8528842124936,0.02212145663557502,1507.9368947743997
2017-10-01,1447.538696649806,0.023347880912635257,1511.860802235654
2017-11-01,1405.8212208285433,0.024252694314492344,1470.396568785194
2017-12-01,1392.5048449908813,0.02131965784039534,1449.0890824343105
2018-01-01,1497.8089204729877,0.019230525527288562,1553.277034462807
2018-02-01,1582.9150263667311,0.01955606548556936,1642.7123724299386
2018-03-01,1854.2619730955516,0.018507825330449965,1921.2964969265884
2018-04-01,2257.703668864513,0.020254000287274098,2347.7406003991923
2018-05-01,2641.42232691538,0.02206359918019725,2756.8649822375096
2018-06-01,2868.132083256234,0.022274555651631795,2995.114155492264
2018-07-01,2890.6150052182043,0.026908449822470325,3045.0443982201623
2018-08-01,2877.747568668931,0.030646378866624205,3052.5902431258246
2018-09-01,3217.407611213989,0.03020659874583332,3411.255517153509
2018-10-01,3533.9132927577098,0.029417482665722448,3742.1927402682622
2018-11-01,3567.4785903597053,0.028916268487766694,3774.2348313075336
2018-12-01,3457.8854943694196,0.028380618030779146,3654.310692225815
2019-01-01,3241.0366200470094,0.03047387144945623,3438.1017781330534
2019-02-01,3373.619632590357,0.02671371611320519,3553.81873019321
2019-03-01,3639.7430923099346,0.02576220437540913,3827.790344205991
2019-04-01,3568.407169896675,0.02480288980623293,3745.7624735323875
2019-05-01,2960.3798559023403,0.02110828542339098,3084.7785791401107
2019-06-01,2841.711259774017,0.019303109784884098,2950.805088843916
2019-07-01,3097.5222594326797,0.019688892003723635,3219.1612555488023
2019-08-01,3129.4329280904153,0.028099720486470813,3304.646966951588
2019-09-01,3064.2414084946777,0.04974149132153047,3366.034061864128
2019-10-01,2911.877175940324,0.06368200996389664,3275.1812810529686
2019-11-01,2826.8331433169897,0.06481284359378874,3184.204945972105
2019-12-01,2706.2873606337516,0.07308605021568372,3087.7163877010657
2020-01-01,2551.5814965437444,0.07056509949479507,2896.0923557108526
2020-02-01,2661.1855662452044,0.05369037757883017,2939.5347965524643
2020-03-01,2808.694334861586,0.03758252569092522,3017.0879702442676
2020-04-01,2887.0047426286455,0.031866689210785615,3069.3532511926433
2020-05-01,2848.5639472540756,0.038317399002249966,3064.207715461559
2020-06-01,2807.8788830137887,0.04482460837054614,3055.577118610433
2020-07-01,2803.404558349787,0.04650242059077735,3059.7332115980025
2020-08-01,2849.414037258948,0.03867484889533334,3067.108937713427
2020-09-01,2855.381379877213,0.03734462227815444,3066.168865042684
2020-10-01,2871.9765215169054,0.03984020068672432,3098.039824648754
2020-11-01,2935.8990344602435,0.036358611619176445,3147.388192334372
2020-12-01,3011.669226593618,0.02283349754624281,3148.601110152341
2021-01-01,2919.043788413263,8.635555904336968e-6,2919.0942034522177
2021-02-01,2953.261861222247,1.5949808755461682e-5,2953.356068855929
2021-03-01,2953.1174767576676,2.099794812090745e-6,2953.129878634153
2021-04-01,2963.9462811198628,3.186756971900737e-6,2963.9651718615605
2021-05-01,2995.383371486556,2.592599864639911e-6,2995.3989031407873
2021-06-01,3019.891555260984,2.711889892511931e-6,3019.9079344808383
2021-07-01,3020.9016979892717,9.40666135691907e-7,3020.9073813082964
2021-08-01,2962.5465225393664,1.3735462461331048e-6,2962.5546609265775
2021-09-01,2925.0071427232724,1.9628178104795893e-6,2925.018625230785
2021-10-01,2957.870094255587,9.023443310216235e-7,2957.8754322892923
2021-11-01,3011.4667413230527,1.3712381272687996e-6,3011.4750001972675
2021-12-01,3057.260901927795,4.963867707715102e-6,3057.291253584718
