"intensity_channel","size_channel","interaction","total","measure","type","v0","v1","base","comp"
-9.32,7.93,-2.82,-4.22,"P_hom","ALL",26.2,21.98,"2013","2023"
60.64,14.96,18.36,93.96,"N_hom","ALL",49.4,143.4,"2013","2023"
-0.95,2.08,-0.09,1.03,"P_hom","Closed pod",21.19,22.23,"2013","2023"
73.45,5.47,7.2,86.12,"N_hom","Closed pod",55.9,142,"2013","2023"
-18.26,45.86,-32.53,-4.93,"P_hom","Disposable",25.74,20.81,"2013","2023"
24.34,52.68,43.36,120.38,"N_hom","Disposable",29.6,149.9,"2013","2023"
-14.66,57.26,-50.41,-7.81,"P_hom","Open refill",16.65,8.84,"2013","2023"
11.34,89.28,39.02,139.64,"N_hom","Open refill",26,165.6,"2013","2023"
