"year","Closed pod","Disposable","Open refill"
"2013",0.70176909770524,0.215740051098357,0.0824908511964036
"2014",0.72197639933978,0.168377584977539,0.109646015682681
"2015",0.557095992782528,0.179144046075163,0.263759961142309
"2016",0.514068987194997,0.177498588881125,0.308432423923878
"2017",0.532559450548961,0.182504223246729,0.28493632620431
"2018",0.843144039567438,0.0821604274361859,0.0746955329963765
"2019",0.916211493397072,0.0415775419675829,0.0422109646353448
"2020",0.972334388940281,0.0270318159705023,0.00063379508921658
"2021",0.883466794774603,0.116519860222328,1.334500306865e-05
"2022",0.855127218749837,0.144869851142674,2.93010748888026e-06
"2023",0.827428498803279,0.172570175620561,1.32557615976489e-06
