"check_priority","upc","brand_filled","line","product_descr","num_cartridges_f","mL_total_imputed","mL_rule","implied_raw_mg_per_mL","review_flag","total_units"
"1-no-value","088886111007","INFUSE","INFUSE","INFUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE BANANA ICE BOX 1 COUNT",1,NA,"none",NA,"",4368
"1-no-value","085607300324","JAK","JAK E-CG PINEAPPLE","JAK E-CG PINEAPPLE",4,NA,"none",NA,"",4336
"1-no-value","085607300385","JAK","JAK E-CG BLACKBERRY","JAK E-CG BLACKBERRY",1,NA,"none",NA,"",4233
"1-no-value","085607300383","JAK","JAK E-CG BERRY","JAK E-CG BERRY",1,NA,"none",NA,"",3821
"1-no-value","085452700314","VIENTI","VIENTI E-CG VOF","VIENTI E-CG VOF",1,NA,"none",NA,"",3789
"1-no-value","081009691189","JUICE","JUICE HEAD","JUICE HEAD SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO WATERMELON LIME JUICE HEAD BOX 1 COUNT",1,NA,"none",NA,"",3731
"1-no-value","002145801000","CLEAN CIG","CLEAN CIG E-CGA REGULAR","CLEAN CIG E-CGA REGULAR",5,NA,"none",NA,"",3567
"1-no-value","088886111001","INFUSE","INFUSE","INFUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE BERRY ICE BOX 1 COUNT",1,NA,"none",NA,"",3396
"1-no-value","085452700315","VIENTI","VIENTI E-CG MN VOF","VIENTI E-CG MN VOF",1,NA,"none",NA,"",2951
"1-no-value","001396427296","SMART SMOKE","SMART SMOKE E-CG RFL","SMART SMOKE E-CG RFL",2,NA,"none",NA,"",2568
"1-no-value","081190403395","SOCIAL",NA,NA,1,NA,"none",NA,"",2099
"1-no-value","089961000241","CIGIREX","CIGIREX E-CG REGULAR VO","CIGIREX E-CG REGULAR VO",1,NA,"none",NA,"",1999
"1-no-value","002145805007","CLEAN CIG","CLN-CG E-CGA REGULAR","CLN-CG E-CGA REGULAR",5,NA,"none",NA,"",1729
"1-no-value","085143800734","JAK",NA,"JAK SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE MENTHOL 800 PUFFS TUBE 1 COUNT",1,NA,"none",NA,"",1624
"1-no-value","085005158211","RIZN","RIZN","RIZN SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO STRAWBERRY WATERMELON BOX 1 COUNT",1,NA,"none",NA,"",1598
"1-no-value","081009691187","JUICE","JUICE HEAD","JUICE HEAD SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO RASPBERRY LEMONADE JUICE HEAD BOX 1 COUNT",1,NA,"none",NA,"",1592
"1-no-value","002145801050","CLEAN CIG","CLN-CG E-CGA REGULAR","CLN-CG E-CGA REGULAR",5,NA,"none",NA,"",1578
"1-no-value","001396427294","SMART SMOKE","SMART SMOKE E-CG MN","SMART SMOKE E-CG MN",10,NA,"none",NA,"",1429
"1-no-value","002145801025","CLEAN CIG","CLN-CG E-CGA REGULAR","CLN-CG E-CGA REGULAR",5,NA,"none",NA,"",1373
"1-no-value","081190403396",NA,NA,NA,NA,NA,"none",NA,"",1358
"1-no-value","081102002396","IMPERIAL",NA,NA,NA,NA,"none",NA,"",1352
"1-no-value","081190403394",NA,NA,NA,NA,NA,"none",NA,"",1327
"1-no-value","081102002403","IMPERIAL",NA,NA,NA,NA,"none",NA,"",1319
"1-no-value","081102002395","IMPERIAL",NA,NA,NA,NA,"none",NA,"",1308
"1-no-value","081102002394","IMPERIAL",NA,NA,NA,NA,"none",NA,"",1290
"1-no-value","085682400211","ECO-CIGS","ECO-CIGS E-CG TF","ECO-CIGS E-CG TF",1,NA,"none",NA,"",1285
"1-no-value","085005158206","RIZN","RIZN","RIZN SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO BLUE RASPBERRY LEMONADE BOX 1 COUNT",1,NA,"none",NA,"",1243
"1-no-value","085682400216","ECO-CIGS","ECO-CIGS E-CGCM TF","ECO-CIGS E-CGCM TF",3,NA,"none",NA,"",1243
"1-no-value","081102002393","IMPERIAL",NA,NA,NA,NA,"none",NA,"",1231
"1-no-value","068808300400","WHISL","WHISL","WHISL SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO TO FOCUS ON THE TASK AT HAND BOX 2 COUNT",2,NA,"none",NA,"",1196
"1-no-value","084851100000","INTELLICIG","INTELLICIG E-CG","INTELLICIG E-CG",1,NA,"none",NA,"",1160
"1-no-value","081102002401","IMPERIAL",NA,NA,NA,NA,"none",NA,"",1157
"1-no-value","081102002402","IMPERIAL",NA,NA,NA,NA,"none",NA,"",1101
"1-no-value","085609000300","ISMOK","ISMOK E-CG CT","ISMOK E-CG CT",1,NA,"none",NA,"",1045
"1-no-value","085682400215","ECO-CIGS","ECO-CIGS E-CG MN","ECO-CIGS E-CG MN",3,NA,"none",NA,"",1033
"1-no-value","089961000242","CIGIREX","CIGIREX E-CG MN OLS","CIGIREX E-CG MN OLS",1,NA,"none",NA,"",1003
"1-no-value","085005158208","RIZN","RIZN","RIZN SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO PEACH BLUE RASPBERRY BOX 1 COUNT",1,NA,"none",NA,"",991
"1-no-value","001396427293","SMART SMOKE","SMART SMOKE E-CG COFFEE","SMART SMOKE E-CG COFFEE",2,NA,"none",NA,"",914
"1-no-value","085003554338","FIFTY","FIFTY BAR","FIFTY BAR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO BLUE RAZZLE ICE BOX 1 COUNT",1,NA,"none",NA,"",825
"1-no-value","085005158209","RIZN","RIZN","RIZN SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO STRAWBERRY LIME CRANBERRY BOX 1 COUNT",1,NA,"none",NA,"",819
"1-no-value","070471534527",NA,NA,NA,NA,NA,"none",NA,"",815
"1-no-value","085005158207","RIZN","RIZN","RIZN SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO MIXED BERRIES BOX 1 COUNT",1,NA,"none",NA,"",812
"1-no-value","003760401203",NA,NA,NA,NA,NA,"none",NA,"",806
"1-no-value","085003554343","FIFTY","FIFTY BAR","FIFTY BAR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO JUICY MANGO MELON ICE BOX 1 COUNT",1,NA,"none",NA,"",725
"1-no-value","061772491452",NA,NA,NA,NA,NA,"none",NA,"",654
"1-no-value","085003554344","FIFTY","FIFTY BAR","FIFTY BAR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO ALOE GRAPPLE WATERMELON BOX 1 COUNT",1,NA,"none",NA,"",637
"1-no-value","085005158210","RIZN","RIZN","RIZN SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO SUPER SOUR BOX 1 COUNT",1,NA,"none",NA,"",631
"1-no-value","085609000332","ISMOK","ISMOK E-CG CT RFL/ECC=","ISMOK E-CG CT RFL/ECC=",5,NA,"none",NA,"",619
"1-no-value","061737594344","SQUARE","SQUARE","SQUARE SMOKING ALTERNATIVE PRODUCT LIQUID VAPORIZER PEN ORIGINAL RED 1000 PUFFS BOX 1 COUNT",1,NA,"none",NA,"",608
"1-no-value","085609000315","ISMOK","ISMOK E-CGC CT","ISMOK E-CGC CT",3,NA,"none",NA,"",608
"1-no-value","061772451137","SQUARE","SQ-DR E-CG LIQUID LOVE ME","SQ-DR E-CG LIQUID LOVE ME",1,NA,"none",NA,"",601
"1-no-value","061772451152","SQUARE","SQ-DR E-CG LIQUID NBG","SQ-DR E-CG LIQUID NBG",1,NA,"none",NA,"",574
"1-no-value","061772451170","SQUARE","SQ-DR E-CG LIQUID OST","SQ-DR E-CG LIQUID OST",1,NA,"none",NA,"",569
"1-no-value","089961000209","CIGIREX","CIGIREX E-CG","CIGIREX E-CG",2,NA,"none",NA,"",540
"1-no-value","085436100477",NA,NA,NA,NA,NA,"none",NA,"",535
"1-no-value","089961000214","CIGIREX","CIGIREX E-CGC MN RFL","CIGIREX E-CGC MN RFL",5,NA,"none",NA,"",531
"1-no-value","089961000212","CIGIREX","CIGIREX E-CGC REGULAR RFL","CIGIREX E-CGC REGULAR RFL",5,NA,"none",NA,"",522
"1-no-value","002145800003","CLEAN CIG","CLEAN CIG E-CG REGULAR","CLEAN CIG E-CG REGULAR",1,NA,"none",NA,"",485
"1-no-value","085609000317","ISMOK","ISMOK E-CGC MN/BT/ECC","ISMOK E-CGC MN/BT/ECC",2,NA,"none",NA,"",481
"1-no-value","061772451156","SQUARE","SQ-DR E-CG LIQUID RYDGR","SQ-DR E-CG LIQUID RYDGR",1,NA,"none",NA,"",479
"1-no-value","061772451131","SQUARE","SQ-DR E-CG LIQUID CMYK","SQ-DR E-CG LIQUID CMYK",1,NA,"none",NA,"",469
"1-no-value","061772491336","SQUARE","SQUARE","SQUARE SMOKING ALTERNATIVE PRODUCT LIQUID VAPORIZER PEN MINTY MENTHOL 1000 PUFFS BOX 1 COUNT",1,NA,"none",NA,"",453
"1-no-value","085124700303","MODERN SMOKE","MD-SMK E-CGCM MN","MD-SMK E-CGCM MN",5,NA,"none",NA,"",448
"1-no-value","089961000210","CIGIREX","CIGIREX E-CG","CIGIREX E-CG",2,NA,"none",NA,"",438
"1-no-value","089961000211","CIGIREX","CIGIREX E-CG MN","CIGIREX E-CG MN",2,NA,"none",NA,"",437
"1-no-value","061772451132",NA,NA,NA,NA,NA,"none",NA,"",436
"1-no-value","061772451153",NA,NA,NA,NA,NA,"none",NA,"",436
"1-no-value","085003554337","FIFTY","FIFTY BAR","FIFTY BAR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO VANILLA CUSTARD BOX 1 COUNT",1,NA,"none",NA,"",436
"1-no-value","061772451138","SQUARE","SQ-DR E-CG LIQUID MML","SQ-DR E-CG LIQUID MML",1,NA,"none",NA,"",434
"1-no-value","085436100482",NA,NA,NA,NA,NA,"none",NA,"",400
"1-no-value","089961000213","CIGIREX","CIGIREX E-CGC RFL","CIGIREX E-CGC RFL",5,NA,"none",NA,"",400
"1-no-value","085436100421",NA,NA,NA,NA,NA,"none",NA,"",395
"1-no-value","065436770663","CIGALECTRIC","CIGALECTRIC E-CGC REGULAR","CIGALECTRIC E-CGC REGULAR",1,NA,"none",NA,"",391
"1-no-value","085682400258","ECO-CIGS","ECO-CIGS E-CGCM TOB RFL","ECO-CIGS E-CGCM TOB RFL",3,NA,"none",NA,"",367
"1-no-value","085607300329",NA,NA,NA,NA,NA,"none",NA,"",355
"1-no-value","085436100481",NA,NA,NA,NA,NA,"none",NA,"",346
"1-no-value","073621120294","SMOKERS 1 CHOICE","S1C E-CG MN N-FL MEDIUM","S1C E-CG MN N-FL MEDIUM",1,NA,"none",NA,"",344
"1-no-value","002145802000","CLEAN CIG","CLN-CG E-CGA MN","CLN-CG E-CGA MN",5,NA,"none",NA,"",331
"1-no-value","065436770664","CIGALECTRIC","CIGALECTRIC E-CGC MN","CIGALECTRIC E-CGC MN",1,NA,"none",NA,"",329
"1-no-value","085436100420",NA,NA,NA,NA,NA,"none",NA,"",321
"1-no-value","073621120264","SMOKERS 1 CHOICE","S1C E-CG MEDIUM","S1C E-CG MEDIUM",1,NA,"none",NA,"",311
"1-no-value","085830200521","NE WHERE","NE WHERE ECGVT RFL","NE WHERE ECGVT RFL",1,NA,"none",NA,"",300
"1-no-value","085436100424",NA,NA,NA,NA,NA,"none",NA,"",297
"1-no-value","085607300328",NA,NA,NA,NA,NA,"none",NA,"",289
"1-no-value","085436100422","NE WHERE","NE WHERE EHOK ORANGE CREAM","NE WHERE EHOK ORANGE CREAM",1,NA,"none",NA,"",287
"1-no-value","065436704331","CIGALECTRIC","CIGALECTRIC E-CGC REGULAR","CIGALECTRIC E-CGC REGULAR",1,NA,"none",NA,"",280
"1-no-value","002145801075",NA,NA,NA,NA,NA,"none",NA,"",269
"1-no-value","085308600483","CRISS-CROSS","CRISS-CROSS E-CG REGULAR","CRISS-CROSS E-CG REGULAR",1,NA,"none",NA,"",258
"1-no-value","085436100423",NA,NA,NA,NA,NA,"none",NA,"",256
"1-no-value","081022002111","ISMOKE VAPER TECH","IVPT E-CGC OGN RFL","IVPT E-CGC OGN RFL",5,NA,"none",NA,"",254
"1-no-value","085682400218","ECO-CIGS","ECO-CIGS E-CG TF","ECO-CIGS E-CG TF",1,NA,"none",NA,"",254
"1-no-value","085609000333","ISMOK","ISMOK E-CG MN RFL/ECC=","ISMOK E-CG MN RFL/ECC=",5,NA,"none",NA,"",246
"1-no-value","081323902441","SPACE JAM","SPC JM-KGT AST 3'S","SPC JM-KGT AST 3'S",3,NA,"none",NA,"",241
"1-no-value","085436100408",NA,NA,NA,NA,NA,"none",NA,"",228
