"check_priority","upc","brand_filled","line","product_descr","num_cartridges_f","mL_total_imputed","mL_rule","implied_raw_mg_per_mL","review_flag","total_units"
"1-no-value","085830200517","NE WHERE","NE WHERE E-CG LIQUID WM","NE WHERE E-CG LIQUID WM",1,NA,"none",NA,"",88
"1-no-value","081066902122",NA,NA,NA,NA,NA,"none",NA,"",85
"1-no-value","081066902139",NA,NA,NA,NA,NA,"none",NA,"",84
"1-no-value","061772451143","SQUARE","SQ-DR E-CG LIQUID M-SLK","SQ-DR E-CG LIQUID M-SLK",1,NA,"none",NA,"",82
"1-no-value","084872800344","J'ADORE FOR HER","JDR FH E-CG","JDR FH E-CG",1,NA,"none",NA,"",81
"1-no-value","085143800756","JAK","JAK","JAK SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE STRAWBERRY BOX 1 COUNT",1,NA,"none",NA,"",81
"1-no-value","081962001769","SOUTH BEACH SMOKE","STH-BS E-CG LIQUID MN","STH-BS E-CG LIQUID MN",1,NA,"none",NA,"",77
"1-no-value","081066902121",NA,NA,NA,NA,NA,"none",NA,"",76
"1-no-value","085371500500","BLAC LABEL","BLAC LABEL E-CG CT","BLAC LABEL E-CG CT",2,NA,"none",NA,"",76
"1-no-value","085371500502","BLAC LABEL","BLAC LABEL E-CG MN","BLAC LABEL E-CG MN",2,NA,"none",NA,"",73
"1-no-value","002145800004","CLEAN CIG","CLN-CG E-CGC MN/ECC","CLN-CG E-CGC MN/ECC",1,NA,"none",NA,"",72
"1-no-value","079357305739",NA,NA,NA,NA,NA,"none",NA,"",72
"1-no-value","065436770660","CIGALECTRIC","CIGALECTRIC E-CGC REGULAR OL-V","CIGALECTRIC E-CGC REGULAR OL-V",1,NA,"none",NA,"",70
"1-no-value","061645399351","SQUARE","SQUARE LVP MALIBU SILK XL","SQUARE LVP MALIBU SILK XL",1,NA,"none",NA,"",68
"1-no-value","079357311750",NA,NA,NA,NA,NA,"none",NA,"",68
"1-no-value","081066902120",NA,NA,NA,NA,NA,"none",NA,"",68
"1-no-value","081076702014","MILLENNIUM","MLNM E-CG LIQUID PLUM","MLNM E-CG LIQUID PLUM",1,NA,"none",NA,"",65
"1-no-value","081102002246","IMPERIAL",NA,NA,NA,NA,"none",NA,"",65
"1-no-value","081962001942","SOUTH BEACH SMOKE","STH-BS E-CG LIQUID MN","STH-BS E-CG LIQUID MN",1,NA,"none",NA,"",65
"1-no-value","081066902138",NA,NA,NA,NA,NA,"none",NA,"",55
"1-no-value","085371500501","BLAC LABEL","BLAC LABEL E-CG BOLD TOB","BLAC LABEL E-CG BOLD TOB",2,NA,"none",NA,"",55
"1-no-value","062784346466","EAGLEENERGY","EAGLE.ENERGY","EAGLE.ENERGY SMOKING ALTERNATIVE PRODUCT STICK CAFFEINE 1 COUNT",1,NA,"none",NA,"",54
"1-no-value","081066902140",NA,NA,NA,NA,NA,"none",NA,"",54
"1-no-value","081076702017","MILLENNIUM","MLNM E-CG LIQUID KIWI","MLNM E-CG LIQUID KIWI",1,NA,"none",NA,"",53
"1-no-value","085641900305","PROGRESSIGS","PROGRESSIGS E-CG MN","PROGRESSIGS E-CG MN",1,NA,"none",NA,"",53
"1-no-value","079357323334",NA,NA,NA,NA,NA,"none",NA,"",51
"1-no-value","065436770661","CIGALECTRIC","CIGALECTRIC E-CGC MN OL-V","CIGALECTRIC E-CGC MN OL-V",1,NA,"none",NA,"",49
"1-no-value","079357310107",NA,NA,NA,NA,NA,"none",NA,"",47
"1-no-value","079357323338",NA,NA,NA,NA,NA,"none",NA,"",47
"1-no-value","084005680159","NUX","NU-X NUTRA","NU-X NUTRA SMOKING ALTERNATIVE PRODUCT LIQUID ENERGY CAFFENINE 200 PLUS PUFFS BOX 1 COUNT",1,NA,"none",NA,"",47
"1-no-value","084005680156","NUX","NU-X NUTRA","NU-X NUTRA SMOKING ALTERNATIVE PRODUCT LIQUID ENERGY CAFFENINE 200 PLUS PUFFS BOX 1 COUNT",1,NA,"none",NA,"",45
"1-no-value","085641900308","PROGRESSIGS","PROGRESSIGS E-CG VANILLA","PROGRESSIGS E-CG VANILLA",1,NA,"none",NA,"",43
"1-no-value","061772491345","SQUARE","SQUARE","SQUARE SMOKING ALTERNATIVE PRODUCT LIQUID VAPORIZER PEN OLD SCHOOL TABAC 1000 PUFFS BOX 1 COUNT",1,NA,"none",NA,"",41
"1-no-value","084727700034","XPLORER","XPLORER E-CG TF","XPLORER E-CG TF",1,NA,"none",NA,"",41
"1-no-value","081323902444","SPACE JAM","SPC JM-KGT ECCVPR","SPC JM-KGT ECCVPR",2,NA,"none",NA,"",40
"1-no-value","071375793315",NA,NA,NA,NA,NA,"none",NA,"",37
"1-no-value","085399000323","CLAYTON","CLAYTON E-CG","CLAYTON E-CG",1,NA,"none",NA,"",37
"1-no-value","085641900302","PROGRESSIGS","PROGRESSIGS E-CG TOB","PROGRESSIGS E-CG TOB",1,NA,"none",NA,"",36
"1-no-value","085641900300","PROGRESSIGS","PROGRESSIGS E-CG TOB","PROGRESSIGS E-CG TOB",1,NA,"none",NA,"",35
"1-no-value","085433800492",NA,NA,NA,NA,NA,"none",NA,"",34
"1-no-value","081076702018","MILLENNIUM","MLNM E-CG LIQUID CREAM","MLNM E-CG LIQUID CREAM",1,NA,"none",NA,"",33
"1-no-value","085371500503","BLAC LABEL","BLAC LABEL E-CG LIGHT VANILLA","BLAC LABEL E-CG LIGHT VANILLA",2,NA,"none",NA,"",32
"1-no-value","081076702029","MILLENNIUM","MLNM E-CG LIQUID SB CHSCK","MLNM E-CG LIQUID SB CHSCK",1,NA,"none",NA,"",31
"1-no-value","085607300367","JAK","JAK E-CG MN","JAK E-CG MN",1,NA,"none",NA,"",30
"1-no-value","085308600486","CRISS-CROSS","CRISS-CROSS E-CG MN","CRISS-CROSS E-CG MN",1,NA,"none",NA,"",25
"1-no-value","081342001159",NA,NA,NA,NA,NA,"none",NA,"",24
"1-no-value","079408027633","E-SMOKES","E-SMOKES E-CG MINT RFL","E-SMOKES E-CG MINT RFL",1,NA,"none",NA,"",23
"1-no-value","081076702012","MILLENNIUM","MLNM E-CG LIQUID PINEAPPLE","MLNM E-CG LIQUID PINEAPPLE",1,NA,"none",NA,"",23
"1-no-value","081342001429","KRAVE","KRAVE E-CG OGN","KRAVE E-CG OGN",1,NA,"none",NA,"",21
"1-no-value","085143800757","JAK","JAK","JAK SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE WILD BERRY BOX 1 COUNT",1,NA,"none",NA,"",21
"1-no-value","073621191069","SQUARE","SQ E-CG VO","SQ E-CG VO",1,NA,"none",NA,"",19
"1-no-value","075166712763","EZ CIG","EZ CIG E-CG MN","EZ CIG E-CG MN",1,NA,"none",NA,"",18
"1-no-value","081076702013","MILLENNIUM","MLNM E-CG LIQUID WM","MLNM E-CG LIQUID WM",1,NA,"none",NA,"",18
"1-no-value","075166717399","VOODOO","VOODOO E-HOOKAH E-CG S-S","VOODOO E-HOOKAH E-CG S-S",1,NA,"none",NA,"",17
"1-no-value","081342001430","KRAVE","KRAVE E-CG MN","KRAVE E-CG MN",1,NA,"none",NA,"",17
"1-no-value","085371500504","BLAC LABEL","BLAC LABEL E-CG LIGHT TOB","BLAC LABEL E-CG LIGHT TOB",2,NA,"none",NA,"",17
"1-no-value","081342001389",NA,NA,NA,NA,NA,"none",NA,"",16
"1-no-value","085143800754","JAK","JAK","JAK SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE FRUIT BOX 1 COUNT",1,NA,"none",NA,"",16
"1-no-value","085220700570",NA,NA,NA,NA,NA,"none",NA,"",16
"1-no-value","085607300300","JAK","JAK E-CG REGULAR","JAK E-CG REGULAR",1,NA,"none",NA,"",16
"1-no-value","075166704975","EZ CIG","EZ CIG E-CG TOB","EZ CIG E-CG TOB",1,NA,"none",NA,"",15
"1-no-value","081342001265",NA,NA,NA,NA,NA,"none",NA,"",15
"1-no-value","002145802050","CLEAN CIG","CLN-CG E-CGA MN","CLN-CG E-CGA MN",5,NA,"none",NA,"",14
"1-no-value","073621122926","SQUARE","SQ82 E-CG OR","SQ82 E-CG OR",1,NA,"none",NA,"",14
"1-no-value","081085902007","ZOOM","ZOOM E-CG MN BOLD 10P","ZOOM E-CG MN BOLD 10P",10,NA,"none",NA,"",14
"1-no-value","085371500505","BLAC LABEL","BLAC LABEL E-CG SPECIAL BLEND","BLAC LABEL E-CG SPECIAL BLEND",2,NA,"none",NA,"",14
"1-no-value","075166717247","VOODOO","VOODOO E-HOOKAH E-CG GOE","VOODOO E-HOOKAH E-CG GOE",1,NA,"none",NA,"",12
"1-no-value","085488600303","SMOKER'S ONE CHOICE","SOC E-CG MN","SOC E-CG MN",1,NA,"none",NA,"",12
"1-no-value","081323902000","SPACE JAM","SPC JM E-CG LIQUID ANDROMEDA","SPC JM E-CG LIQUID ANDROMEDA",1,NA,"none",NA,"",11
"1-no-value","065436704330","CIGALECTRIC","CGR E-CGC AST OL-V 2'S/BT/ECC","CGR E-CGC AST OL-V 2'S/BT/ECC",2,NA,"none",NA,"",10
"1-no-value","070098780115","KING DISTRIBUTION","LAVA PLUS","LAVA PLUS SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO COOL MINT BOX 1 COUNT",1,NA,"none",NA,"",10
"1-no-value","073621122916","SQUARE","SQ E-CG MINTY MN VO","SQ E-CG MINTY MN VO",1,NA,"none",NA,"",10
"1-no-value","085005158236","RIZN","RIZN","RIZN SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO BLACKBERRY ICE MESH COIL BOX 1 COUNT",1,NA,"none",NA,"",10
"1-no-value","002145802025","CLEAN CIG","CLN-CG E-CGA MN","CLN-CG E-CGA MN",5,NA,"none",NA,"",9
"1-no-value","085436100400","NE WHERE","NE WHERE E-CG CT","NE WHERE E-CG CT",1,NA,"none",NA,"",9
"1-no-value","085488600301","SMOKER'S ONE CHOICE","SOC E-CG MEDIUM","SOC E-CG MEDIUM",1,NA,"none",NA,"",9
"1-no-value","001396461400","X HALE O2","X HALE O2 E-CG","X HALE O2 E-CG",1,NA,"none",NA,"",8
"1-no-value","073621191079",NA,NA,NA,NA,NA,"none",NA,"",8
"1-no-value","081342001433","KRAVE","KRAVE E-CG TOB","KRAVE E-CG TOB",1,NA,"none",NA,"",8
"1-no-value","085005158239","RIZN","RIZN","RIZN SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO STRAWBERRY WATERMELON BOX 1 COUNT",1,NA,"none",NA,"",8
"1-no-value","505671640243","LOST","LOST MARY","LOST MARY SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO STRAWBERRY LEMONADE MESH COIL BOX 1 COUNT",1,NA,"none",NA,"",8
"1-no-value","075602973446","NIIN","NIIN AIR","NIIN AIR SMOKING ALTERNATIVE PRODUCT GUAVA CHILL 1 COUNT",1,NA,"none",NA,"",7
"1-no-value","081342001286",NA,NA,NA,NA,NA,"none",NA,"",7
"1-no-value","073621190409","SQUARE","SQUARE E-CG VO","SQUARE E-CG VO",1,NA,"none",NA,"",6
"1-no-value","075166721591",NA,NA,NA,NA,NA,"none",NA,"",6
"1-no-value","075166721595","VOODOO","VOODOO E-HOOKAH E-CG MN","VOODOO E-HOOKAH E-CG MN",1,NA,"none",NA,"",6
"1-no-value","081076702202","MILLENNIUM","MLNM E-CG LIQUID CRANBERRY","MLNM E-CG LIQUID CRANBERRY",1,NA,"none",NA,"",6
"1-no-value","075166701019","VOODOO","V E-L E-CG LIQUID BB","V E-L E-CG LIQUID BB",1,NA,"none",NA,"",5
"1-no-value","081342001434","KRAVE","KRAVE E-CG MN","KRAVE E-CG MN",1,NA,"none",NA,"",5
"1-no-value","081717001001","NICSTICK","NICSTICK E-CGAC USA MIX","NICSTICK E-CGAC USA MIX",1,NA,"none",NA,"",5
"1-no-value","085682400255","ECO-CIGS","ECO-CIGS E-CGCM MN MINI","ECO-CIGS E-CGCM MN MINI",3,NA,"none",NA,"",5
"1-no-value","505671640280","LOST","LOST MARY","LOST MARY SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO ACAI BERRY STORM ICE MESH COIL BOX 1 COUNT",1,NA,"none",NA,"",5
"1-no-value","075166721827","VOODOO","VOODOO E-CG LIQUID MN","VOODOO E-CG LIQUID MN",1,NA,"none",NA,"",4
"1-no-value","075166726959",NA,NA,NA,NA,NA,"none",NA,"",4
"1-no-value","075166726963",NA,NA,NA,NA,NA,"none",NA,"",4
"1-no-value","081076702038","MILLENNIUM","MLNM E-CG LIQUID PICO","MLNM E-CG LIQUID PICO",1,NA,"none",NA,"",4
"1-no-value","081076702206","MILLENNIUM","MLNM E-CG LIQUID ENERGY COW","MLNM E-CG LIQUID ENERGY COW",1,NA,"none",NA,"",4
"1-no-value","081076702218","MILLENNIUM","MLNM E-CG LIQUID LEMON","MLNM E-CG LIQUID LEMON",1,NA,"none",NA,"",4
"1-no-value","081323902284","SPACE JAM","SPC JM E-CG LIQUID PLSR","SPC JM E-CG LIQUID PLSR",1,NA,"none",NA,"",4
"1-no-value","084727700005","REVIVE","REVIVE E-CG TOB","REVIVE E-CG TOB",1,NA,"none",NA,"",4
"1-no-value","085682400257",NA,NA,NA,NA,NA,"none",NA,"",4
"1-no-value","086000489504","FUMEE","FUMEE","FUMEE SMOKING ALTERNATIVE PRODUCT MANGO 1 COUNT",1,NA,"none",NA,"",4
"1-no-value","505671640230","LOST","LOST MARY","LOST MARY SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO WATERMELON BOX 1 COUNT",1,NA,"none",NA,"",4
"1-no-value","505671640274","LOST","LOST MARY","LOST MARY SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO TRIPLE BERRY DUO ICE MESH COIL BOX 1 COUNT",1,NA,"none",NA,"",4
"1-no-value","065436770665","CIGALECTRIC","CIGALECTRIC E-CGC REGULAR","CIGALECTRIC E-CGC REGULAR",1,NA,"none",NA,"",3
"1-no-value","081323902063","SPACE JAM","SPC JM E-CG LIQUID PLUTO","SPC JM E-CG LIQUID PLUTO",1,NA,"none",NA,"",3
"1-no-value","081717001006","NICSTICK","NICSTICK E-CGAC USA MIX","NICSTICK E-CGAC USA MIX",1,NA,"none",NA,"",3
"1-no-value","085005158237","RIZN","RIZN","RIZN SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO PEACH BLUE RASPBERRY BOX 1 COUNT",1,NA,"none",NA,"",3
"1-no-value","085436100411","NE WHERE","NE WHERE E-CG G-G","NE WHERE E-CG G-G",1,NA,"none",NA,"",3
"1-no-value","085682400256",NA,NA,NA,NA,NA,"none",NA,"",3
"1-no-value","089961000227",NA,NA,NA,NA,NA,"none",NA,"",3
"1-no-value","065436704351","CIGALECTRIC","CIGALECTRIC E-CGC REGULAR","CIGALECTRIC E-CGC REGULAR",2,NA,"none",NA,"",2
"1-no-value","075166723931",NA,NA,NA,NA,NA,"none",NA,"",2
"1-no-value","075166726955","VOODOO","VOODOO E-HOOKAH E-CG MN","VOODOO E-HOOKAH E-CG MN",1,NA,"none",NA,"",2
"1-no-value","081076702041","ROYAL SMOKE","ROYAL SMOKE E-CG RED KING","ROYAL SMOKE E-CG RED KING",1,NA,"none",NA,"",2
"1-no-value","081323902015","SPACE JAM","SPC JM E-CG LIQUID ASTRO","SPC JM E-CG LIQUID ASTRO",1,NA,"none",NA,"",2
"1-no-value","081323902464","SPACE JAM","SPC JM E-CG LIQUID MTR MLK","SPC JM E-CG LIQUID MTR MLK",1,NA,"none",NA,"",2
"1-no-value","085005158238","RIZN","RIZN","RIZN SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO RED GRAPES BOX 1 COUNT",1,NA,"none",NA,"",2
"1-no-value","085452700316","VIENTI","VIENTI","VIENTI SMOKING ALTERNATIVE PRODUCT TRAY IN BOX 1 COUNT",1,NA,"none",NA,"",2
"1-no-value","002145800006","CLEAN CIG","CLN-CG E-CGA&CT/BT&ECC","CLN-CG E-CGA&CT/BT&ECC",3,NA,"none",NA,"",1
"1-no-value","002145806005","CLEAN CIG","CLN-CG E-CG LIQUID CHERRY","CLN-CG E-CG LIQUID CHERRY",1,NA,"none",NA,"",1
"1-no-value","002145806011","CLEAN CIG","CLN-CG E-CG LIQUID WM","CLN-CG E-CG LIQUID WM",1,NA,"none",NA,"",1
"1-no-value","005284312007","SMOKE FREE","SMOKE FREE E-CG","SMOKE FREE E-CG",20,NA,"none",NA,"",1
"1-no-value","009874701305","VIIGO","VIIGO","VIIGO SMOKING ALTERNATIVE PRODUCT MIXED FRUIT 3 COUNT",3,NA,"none",NA,"",1
"1-no-value","061693254774","V-GAR 300","V-GAR 300 E-CG TOB","V-GAR 300 E-CG TOB",1,NA,"none",NA,"",1
"1-no-value","065436704352","CIGALECTRIC","CIGALECTRIC E-CGC MN","CIGALECTRIC E-CGC MN",2,NA,"none",NA,"",1
"1-no-value","075166721843","VOODOO","V E-L E-CG LIQUID PEACH","V E-L E-CG LIQUID PEACH",1,NA,"none",NA,"",1
"1-no-value","081076702224","MILLENNIUM","MLNM E-CG LIQUID RASPBERRY","MLNM E-CG LIQUID RASPBERRY",1,NA,"none",NA,"",1
"1-no-value","081085902015","ZOOM","ZOOM","ZOOM SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE TOBACCO PREMIUM BOX 3 COUNT",3,NA,"none",NA,"",1
"1-no-value","081323902003",NA,NA,NA,NA,NA,"none",NA,"",1
"1-no-value","081323902012",NA,NA,NA,NA,NA,"none",NA,"",1
"1-no-value","081323902286","SPACE JAM","SPC JM E-CG LIQUID PLSR","SPC JM E-CG LIQUID PLSR",1,NA,"none",NA,"",1
"1-no-value","081323902797",NA,NA,NA,NA,NA,"none",NA,"",1
"1-no-value","081717001002","NICSTICK","NICSTICK E-CGAC MN","NICSTICK E-CGAC MN",1,NA,"none",NA,"",1
"1-no-value","084727700006","JASPER & JASPER","JJC E-CGC TOB","JJC E-CGC TOB",5,NA,"none",NA,"",1
"1-no-value","085436100401","NE WHERE","NE WHERE E-CG MN","NE WHERE E-CG MN",1,NA,"none",NA,"",1
"2-siblings-disagree","084920501793","VUSE",NA,NA,NA,3.6,"prefix11",24,"CHECK:siblings_disagree",268658
"2-siblings-disagree","085438400415","LOGIC","LOGIC E-CG TOB","LOGIC E-CG TOB",1,7.25,"prefix10",18,"CHECK:siblings_disagree",181440
"2-siblings-disagree","009710000218","MARKTEN","MARKTEN EVCC CREAM","MARKTEN EVCC CREAM",2,1.6,"prefix8+carts",35,"CHECK:siblings_disagree",152653
"2-siblings-disagree","009710000289","NJOY","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,0.8,"prefix8+carts",35,"CHECK:siblings_disagree",129487
"2-siblings-disagree","009710000287","NJOY","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,0.8,"prefix8+carts",35,"CHECK:siblings_disagree",116384
"2-siblings-disagree","009710000288","NJOY","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,0.8,"prefix8+carts",35,"CHECK:siblings_disagree",114694
"2-siblings-disagree","085438400414","LOGIC","LOGIC E-CG MN","LOGIC E-CG MN",2,7.25,"prefix10",18,"CHECK:siblings_disagree",114431
"2-siblings-disagree","085570400720","MISTIC","MISTIC E-CGC RFL","MISTIC E-CGC RFL",3,5,"prefix10",18,"CHECK:siblings_disagree",98207
"2-siblings-disagree","085570400719","MISTIC","MISTIC E-CGC RFL","MISTIC E-CGC RFL",3,5,"prefix10",18,"CHECK:siblings_disagree",94322
"2-siblings-disagree","036586038376","21ST CENTURY SMOKE","21CS E-CGC","21CS E-CGC",1,14.9937645,"prefix8+carts",16,"CHECK:siblings_disagree",66605
"2-siblings-disagree","009710000286","NJOY","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,0.8,"prefix8+carts",35,"CHECK:siblings_disagree",51035
"2-siblings-disagree","009710000285","NJOY","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,0.8,"prefix8+carts",35,"CHECK:siblings_disagree",50254
"2-siblings-disagree","081505802212","LOGIC","LOGIC LQD ECGT","LOGIC LQD ECGT",1,3,"prefix10",18,"CHECK:siblings_disagree",32811
"2-siblings-disagree","085570400702","MISTIC","MISTIC E-CG MN","MISTIC E-CG MN",1,5,"prefix11",18,"CHECK:siblings_disagree",22289
"2-siblings-disagree","081649401348","NICOTEK","N-M-C E-CG","N-M-C E-CG",1,9.995843,"prefix8+carts",24,"CHECK:siblings_disagree",21896
"2-siblings-disagree","085438400412","LOGIC","LOGIC E-CG REGULAR TOB","LOGIC E-CG REGULAR TOB",1,7.25,"prefix10",18,"CHECK:siblings_disagree",15965
"2-siblings-disagree","081068701811","NJOY","NJOY E-CG LIQUID PEACH TEA","NJOY E-CG LIQUID PEACH TEA",1,5.527495,"prefix11",11.8,"CHECK:siblings_disagree",15100
"2-siblings-disagree","081649401154","NICOTEK","NICOTEK METRO E-CG","NICOTEK METRO E-CG",1,9.995843,"prefix8+carts",24,"CHECK:siblings_disagree",14776
"2-siblings-disagree","081505802213","LOGIC","LOGIC LQD ECTA","LOGIC LQD ECTA",3,3,"prefix10",18,"CHECK:siblings_disagree",10907
"2-siblings-disagree","081649401300","NICOTEK","NCTK MTR MNGT E-CG MN","NCTK MTR MNGT E-CG MN",1,9.995843,"prefix8+carts",24,"CHECK:siblings_disagree",10306
"2-siblings-disagree","085570400737","MISTIC","MISTIC E-CGC CHERRY RFL","MISTIC E-CGC CHERRY RFL",3,5,"prefix10",18,"CHECK:siblings_disagree",9654
"2-siblings-disagree","036586038277","21ST CENTURY SMOKE","21SCS E-CG REGULAR TOB","21SCS E-CG REGULAR TOB",1,5.4,"prefix10",16,"CHECK:siblings_disagree",8865
"2-siblings-disagree","081649401155","NICOTEK","NCTK MTR SVN E-CG MN","NCTK MTR SVN E-CG MN",1,9.995843,"prefix8+carts",24,"CHECK:siblings_disagree",8101
"2-siblings-disagree","036586038210","21ST CENTURY SMOKE","21SCS E-CG MN","21SCS E-CG MN",1,5.4,"prefix11",16,"CHECK:siblings_disagree",7503
"2-siblings-disagree","081649401354","NICOTEK","NICOTEK METRO E-CG MN KING","NICOTEK METRO E-CG MN KING",1,9.995843,"prefix8+carts",24,"CHECK:siblings_disagree",7480
"2-siblings-disagree","081649401352","NICOTEK","NICOTEK METRO E-CG KING","NICOTEK METRO E-CG KING",1,9.995843,"prefix8+carts",24,"CHECK:siblings_disagree",6878
"2-siblings-disagree","081649401299","NICOTEK","NCTK MTR MNGT E-CG","NCTK MTR MNGT E-CG",1,9.995843,"prefix8+carts",24,"CHECK:siblings_disagree",6401
"2-siblings-disagree","081649401297","NICOTEK","NTK MR CK SK E-CG","NTK MR CK SK E-CG",1,9.995843,"prefix8+carts",24,"CHECK:siblings_disagree",6322
"2-siblings-disagree","081649401298","NICOTEK","NTK MR CK SK E-CG MN","NTK MR CK SK E-CG MN",1,9.995843,"prefix8+carts",24,"CHECK:siblings_disagree",6149
"2-siblings-disagree","816494011374","NICOTEK","N-M-C E-CG","N-M-C E-CG",1,9.995843,"brand+carts",24,"CHECK:siblings_disagree",6142
"2-siblings-disagree","081649401295","NICOTEK","N-M-C E-CG","N-M-C E-CG",1,9.995843,"prefix8+carts",24,"CHECK:siblings_disagree",6004
"2-siblings-disagree","081649401296","NICOTEK","N-M-C E-CG MN","N-M-C E-CG MN",1,9.995843,"prefix8+carts",24,"CHECK:siblings_disagree",5820
"2-siblings-disagree","085570400488","MISTIC","MISTIC E-CGC RFL","MISTIC E-CGC RFL",1,7.5,"prefix10",18,"CHECK:siblings_disagree",5486
"2-siblings-disagree","009710000107","MARKTEN","MARKTEN E-CGC","MARKTEN E-CGC",4,1.6,"prefix10",35,"CHECK:siblings_disagree",5190
"2-siblings-disagree","085438400413","LOGIC","LOGIC E-CG REGULAR MN","LOGIC E-CG REGULAR MN",1,7.25,"prefix10",18,"CHECK:siblings_disagree",4718
"2-siblings-disagree","085570400401","NEO","NEO SOLO E-CG","NEO SOLO E-CG",1,7.5,"prefix10",20,"CHECK:siblings_disagree",4594
"2-siblings-disagree","085570400420","MISTIC","MISTIC E-CG MN","MISTIC E-CG MN",1,7.5,"prefix10",20,"CHECK:siblings_disagree",4430
"2-siblings-disagree","036586038274","21ST CENTURY SMOKE","21SCS E-CG C-M","21SCS E-CG C-M",1,5.4,"prefix10",16,"CHECK:siblings_disagree",4131
"2-siblings-disagree","085570400402","NEO","NEO SOLO E-CG","NEO SOLO E-CG",1,7.5,"prefix10",20,"CHECK:siblings_disagree",3700
"2-siblings-disagree","009710000109","MARKTEN","MARKTEN E-CGC MN","MARKTEN E-CGC MN",4,1.6,"prefix10",35,"CHECK:siblings_disagree",3231
"2-siblings-disagree","072944053377","LOGIC","LBL E-CG REGULAR TOB","LBL E-CG REGULAR TOB",1,1.2,"brand+carts",24,"CHECK:siblings_disagree",3227
"2-siblings-disagree","081068701408","NJOY","NJOY ONE JOY E-CG","NJOY ONE JOY E-CG",1,3.8,"prefix10",45,"CHECK:siblings_disagree",2925
"2-siblings-disagree","081505802030","LOGIC","LOGIC E-CGC TOB","LOGIC E-CGC TOB",3,1.2,"prefix10",24,"CHECK:siblings_disagree",2912
"2-siblings-disagree","085570400487","MISTIC","MISTIC E-CGC RFL","MISTIC E-CGC RFL",1,7.5,"prefix10",18,"CHECK:siblings_disagree",2893
"2-siblings-disagree","081997901118","NJOY",NA,NA,NA,2.85,"prefix10",43,"CHECK:siblings_disagree",2877
"2-siblings-disagree","081505802305","LOGIC","LOGIC VAPELEAF ECV&C","LOGIC VAPELEAF ECV&C",1,1.2,"prefix8+carts",24,"CHECK:siblings_disagree",2578
"2-siblings-disagree","081068701410","NJOY","NJOY ONE JOY E-CG","NJOY ONE JOY E-CG",1,3.8,"prefix10",45,"CHECK:siblings_disagree",2484
"2-siblings-disagree","081068701409","NJOY","NJOY ONE JOY E-CG MN","NJOY ONE JOY E-CG MN",1,3.8,"prefix10",45,"CHECK:siblings_disagree",2327
"2-siblings-disagree","072944053375","LOGIC","LOGIC E-CG REGULAR MN","LOGIC E-CG REGULAR MN",1,1.2,"brand+carts",24,"CHECK:siblings_disagree",2245
"2-siblings-disagree","081505802306","LOGIC","LOGIC VAPELEAF ECV&C MN GREEN","LOGIC VAPELEAF ECV&C MN GREEN",1,1.2,"prefix8+carts",24,"CHECK:siblings_disagree",1984
"2-siblings-disagree","085570400407","NEO","NEO E-CGC","NEO E-CGC",1,7.5,"prefix10",20,"CHECK:siblings_disagree",1884
"2-siblings-disagree","084920500055","VUSE","VUSE DVCC AST 2'S/BT&ECCR&L&T","VUSE DVCC AST 2'S/BT&ECCR&L&T",2,3,"prefix11",48,"CHECK:siblings_disagree",1882
"2-siblings-disagree","081505802028","LOGIC","LOGIC E-CGC TOB","LOGIC E-CGC TOB",3,1.2,"prefix10",24,"CHECK:siblings_disagree",1862
"2-siblings-disagree","081068701413","NJOY","NJOY ONE JOY E-CG MN","NJOY ONE JOY E-CG MN",1,3.8,"prefix10",45,"CHECK:siblings_disagree",1837
"2-siblings-disagree","009710000102","MARKTEN","MARKTEN E-CGC","MARKTEN E-CGC",4,1.6,"prefix10",35,"CHECK:siblings_disagree",1822
"2-siblings-disagree","009710000101","MARKTEN","MARKTEN E-CG","MARKTEN E-CG",1,1.6,"prefix10",35,"CHECK:siblings_disagree",1784
