"category","upc","brand_filled","brand_source","line","product_descr","num_cartridges_f","mL_total_imputed","mL_rule","mL_n_siblings","mL_sibling_lo","mL_sibling_hi","nic_yield_tot_imputed","nic_rule","implied_raw_mg_per_mL","t2_type_override","review_flag","total_units"
"e-liquid (impute mL)","081022002113","ISMOKE VAPER TECH","raw","IVPT E-CGC MN RFL","IVPT E-CGC MN RFL",5,NA,"none",NA,NA,NA,61.2,"own(low-conf)",NA,NA,"",187
"e-liquid (impute mL)","081323902002","SPACE JAM","raw","SPC JM E-CG LIQUID ANDROMEDA","SPC JM E-CG LIQUID ANDROMEDA",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",187
"e-liquid (impute mL)","085143800755","JAK","raw","JAK","JAK SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE STRAWBERRY BOX 1 COUNT",1,NA,"none",NA,NA,NA,106.25,"own(low-conf)",NA,NA,"",185
"e-liquid (impute mL)","693764350223","IMIRACLE","prefix","LOST MARY","LOST MARY SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO MANGO PASSION FRUIT BOX 1 COUNT",1,13.5,"prefix8+carts",3,13,13.5,102,"prefix8+carts",11.1,NA,"minor:some_spread",185
"e-liquid (impute mL)","081068701789","NJOY","raw","NJOY E-CG LIQUID BLD-ORNGE","NJOY E-CG LIQUID BLD-ORNGE",1,10,"prefix11",2,10,10,54.4,"prefix11",8,NA,"ok",183
"e-liquid (impute mL)","085830200500","NE WHERE","raw","NE WHERE E-CG LIQUID MN","NE WHERE E-CG LIQUID MN",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",179
"e-liquid (impute mL)","085436100458","NE WHERE","raw","NE WHERE E-CG LIQUID SR APTN","NE WHERE E-CG LIQUID SR APTN",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",178
"e-liquid (impute mL)","085436100467","NE WHERE","raw","NE WHERE E-CG LIQUID GGSB","NE WHERE E-CG LIQUID GGSB",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",177
"e-liquid (impute mL)","081068701801","NJOY","raw","NJOY E-CG LIQUID BTR-CRNCH","NJOY E-CG LIQUID BTR-CRNCH",1,5.527495,"prefix10",2,1,10.05499,44.386966,"prefix10",11.8,NA,"CHECK:siblings_disagree",176
"e-liquid (impute mL)","075166716631","EZ CIG","raw","EZ CIG E-CG WB","EZ CIG E-CG WB",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",175
"e-liquid (impute mL)","081764101369","VAPOR X","raw","VAPOR X E-CG LIQUID VD","VAPOR X E-CG LIQUID VD",1,2,"prefix8+carts",1,2,2,24.48,"prefix8+carts",18,NA,"note:single_sibling",175
"e-liquid (impute mL)","692660811303","PALAX","line","PALAX","PALAX SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO DRAGON BEAR BOX 1 COUNT",1,18,"prefix11",1,18,18,102,"prefix11",8.3,NA,"note:single_sibling",172
"e-liquid (impute mL)","076746198860","MADURO DISTRIBUTORS","manual","LOON MAXX","LOON MAXX SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO OLD FASHION TOBACCO BOOSTED FLAVOR BOX 1 COUNT",1,6.5,"manual",NA,NA,NA,221,"manual",50,"Disposable","ok:manual",170
"e-liquid (impute mL)","081102002177","IMPERIAL","raw","IMPRL HK E-CG LIQUID ST-BN","IMPRL HK E-CG LIQUID ST-BN",1,19.991686,"prefix10",1,19.991686,19.991686,244.69823664,"prefix10",18,NA,"note:single_sibling",170
"e-liquid (impute mL)","085436100465","NE WHERE","raw","NE WHERE E-CG LIQUID ISSQ","NE WHERE E-CG LIQUID ISSQ",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",170
"bare UPC (needs barcode lookup)","085604000326",NA,"unknown",NA,NA,NA,NA,"none",NA,NA,NA,64.6,"brand",NA,NA,"",169
"e-liquid (impute mL)","085830200503","NE WHERE","raw","NE WHERE E-CG LIQUID PICO","NE WHERE E-CG LIQUID PICO",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",168
"e-liquid (impute mL)","085830200514","NE WHERE","raw","NE WHERE E-CG LIQUID VANILLA","NE WHERE E-CG LIQUID VANILLA",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",164
"e-liquid (impute mL)","081323902001","SPACE JAM","raw","SPC JM E-CG LIQUID ANDROMEDA","SPC JM E-CG LIQUID ANDROMEDA",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",163
"e-liquid (impute mL)","085436100499","NE WHERE","raw","NE WHERE E-CG LIQUID CHERRY","NE WHERE E-CG LIQUID CHERRY",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",162
"e-liquid (impute mL)","081764101349","VAPOR X","raw","VAPOR X E-CG LIQUID CH-BLS","VAPOR X E-CG LIQUID CH-BLS",1,2,"prefix8+carts",1,2,2,24.48,"prefix8+carts",18,NA,"note:single_sibling",160
"e-liquid (impute mL)","081991301141","JUUL","raw","ELCT CGRTT CARTRIDGE","ELCT CGRTT CARTRIDGE",4,2.8,"prefix11",2,2.8,2.8,95.2,"prefix11",50,NA,"ok",158
"e-liquid (impute mL)","085436100496","NE WHERE","raw","NE WHERE E-CG LIQUID BB","NE WHERE E-CG LIQUID BB",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",157
"e-liquid (impute mL)","075166716627","EZ CIG","raw","EZ CIG E-CG WG","EZ CIG E-CG WG",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",155
