"category","upc","brand_filled","brand_source","line","product_descr","num_cartridges_f","mL_total_imputed","mL_rule","mL_n_siblings","mL_sibling_lo","mL_sibling_hi","nic_yield_tot_imputed","nic_rule","implied_raw_mg_per_mL","t2_type_override","review_flag","total_units"
"bare UPC (needs barcode lookup)","081068701482","NJOY","prefix",NA,NA,NA,3.8,"prefix11",2,3.8,3.8,32.64,"prefix11",12.6,NA,"ok",2928816
"bare UPC (needs barcode lookup)","081991301158","JUUL","prefix",NA,NA,NA,2.8,"prefix10",7,2.8,2.8,95.2,"prefix10",50,NA,"ok",2377287
"hardware/device (exclude)","084920502114","VUSE","raw","ELCT VAPOR DEVICE","ELCT VAPOR DEVICE",0,NA,"hardware_exclude",NA,NA,NA,NA,"hardware_exclude",NA,NA,"",2145418
"bare UPC (needs barcode lookup)","084920501991","VUSE","manual_upc",NA,NA,2,3.6,"manual_upc",NA,NA,NA,44.064,"manual_upc",18,"Closed pod","ok:manual",1838505
"bare UPC (needs barcode lookup)","084004820296","JUUL","manual_upc",NA,NA,4,2.8,"manual_upc",NA,NA,NA,57.12,"manual_upc",30,"Closed pod","ok:manual",1754954
"hardware/device (exclude)","084920502117","VUSE","raw",NA,"VUSE ALTO SMOKING ALTERNATIVE PRODUCT ELECTRONIC VAPOR DEVICE BOX 1 COUNT",0,NA,"hardware_exclude",NA,NA,NA,NA,"hardware_exclude",NA,NA,"",1714546
"bare UPC (needs barcode lookup)","084920501622","VUSE","prefix",NA,NA,NA,3.6,"prefix11",2,3.6,3.6,122.4,"prefix11",50,NA,"ok",1566972
"bare UPC (needs barcode lookup)","081991301543","JUUL","prefix",NA,NA,NA,1.4,"prefix10",8,1.4,1.4,47.6,"prefix10",50,NA,"ok",1406027
"bare UPC (needs barcode lookup)","081991301137","JUUL","prefix",NA,NA,NA,2.8,"prefix11",3,2.8,2.8,95.2,"prefix11",50,NA,"ok",1351013
"bare UPC (needs barcode lookup)","084920501967","VUSE","manual_upc",NA,NA,2,3.6,"manual_upc",NA,NA,NA,44.064,"manual_upc",18,"Closed pod","ok:manual",938213
"e-liquid (impute mL)","081536802035","NJOY","raw","ELCT CGRTT","ELCT CGRTT",1,1,"prefix11",1,1,1,30.6,"prefix11",45,NA,"note:single_sibling",640262
"e-liquid (impute mL)","088796901130","BLU","raw","BLU","BLU ANTISMOKING PRODUCT ELECTRONIC CIGARETTE LIQUID PO GOLD LEAF BOX IN WRAP 2 COUNT",2,3,"gpt_verified",NA,NA,NA,50.592,"prefix11",24.8,"Closed pod","ok:gpt-high",460117
"hardware/device (exclude)","084920502120","VUSE","raw","ELCT VAPOR DEVICE","ELCT VAPOR DEVICE",0,NA,"hardware_exclude",NA,NA,NA,NA,"hardware_exclude",NA,NA,"",414106
"e-liquid (impute mL)","088796900560","BLU","raw","BLECGS+ ECGT CT","BLECGS+ ECGT CT",1,1,"gpt_verified",NA,NA,NA,16.32,"gpt_verified",24,"Closed pod","ok:gpt-medium",372082
"bare UPC (needs barcode lookup)","088796901108","BLU","prefix",NA,NA,NA,3,"prefix10",2,3,3,50.592,"prefix10",24.8,NA,"ok",363985
"bare UPC (needs barcode lookup)","084920501532","VUSE","prefix",NA,NA,NA,3.8,"prefix11",3,3.8,3.8,77.52,"prefix11",30,NA,"ok",332406
"e-liquid (impute mL)","088796900752","BLU","raw",NA,"BLU ECIGS PLUS+ SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE TANK GLACIER MINT BOX 3 COUNT",3,3,"gpt_verified",NA,NA,NA,16.32,"prefix10",8,"Closed pod","ok:gpt-high",309243
"e-liquid (impute mL)","088796900918","BLU","raw","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,3,"gpt_verified",NA,NA,NA,48.96,"prefix11",24,"Closed pod","ok:gpt-high",307172
"bare UPC (needs barcode lookup)","081991301269","JUUL","prefix",NA,NA,NA,2.8,"prefix11",2,2.8,2.8,76.16,"prefix11",40,NA,"ok",301672
"e-liquid (impute mL)","084920501667","VUSE","raw","ELCT CGRTT CARTRIDGE","ELCT CGRTT CARTRIDGE",2,1,"gpt_verified",NA,NA,NA,32.64,"gpt_verified",48,"Closed pod","ok:gpt-high",292191
"e-liquid (impute mL)","088796900912","BLU","raw",NA,"MY BLU SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO VIVID VANILLA BOX 2 COUNT",2,3,"gpt_verified",NA,NA,NA,48.96,"prefix11",24,"Closed pod","ok:gpt-high",281276
"bare UPC (needs barcode lookup)","084920501793","VUSE","prefix",NA,NA,NA,3.6,"prefix11",3,3.6,18,58.752,"prefix11",24,NA,"CHECK:siblings_disagree",268658
"hardware/device (exclude)","081990502638","GLAS","prefix","ELCT VAPOR DEVICE","ELCT VAPOR DEVICE",1,NA,"hardware_exclude",NA,NA,NA,NA,"hardware_exclude",NA,NA,"",263815
"e-liquid (impute mL)","084920501805","VUSE","raw","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,1.8,"gpt_verified",NA,NA,NA,61.2,"gpt_verified",50,"Closed pod","ok:gpt-medium",252493
"e-liquid (impute mL)","081505802252","LOGIC","raw","LP ECGLC BERRY MINT","LP ECGLC BERRY MINT",2,3,"gpt_verified",NA,NA,NA,36.72,"gpt_verified",18,"Closed pod","ok:gpt-high",240568
"bare UPC (needs barcode lookup)","085570400807","MISTIC","prefix",NA,NA,NA,10,"prefix11",5,10,10,163.2,"prefix11",24,NA,"ok",236707
"bare UPC (needs barcode lookup)","084920501535","VUSE","prefix",NA,NA,NA,3.8,"prefix11",3,3.8,3.8,77.52,"prefix11",30,NA,"ok",232346
"e-liquid (impute mL)","072153501247","BIDI","manual","BIDI STICK","BIDI STICK SMOKING ALTERNATIVE PRODUCT STICK JUNGLE JUICE CLASS A NICOTINE BOX 2 COUNT",1,1.4,"manual",NA,NA,NA,57.12,"manual",60,"Disposable","ok:manual",231822
"e-liquid (impute mL)","072153501249","BIDI","manual","BIDI STICK","BIDI STICK SMOKING ALTERNATIVE PRODUCT LUSH IC BOX 1 COUNT",1,1.4,"manual",NA,NA,NA,57.12,"manual",60,"Disposable","ok:manual",231654
"e-liquid (impute mL)","072153501203","BIDI","manual","BIDI STICK","BIDI STICK SMOKING ALTERNATIVE PRODUCT TOBACCO LEAF 500 PUFFS BOX 1 COUNT",1,1.4,"manual",NA,NA,NA,57.12,"manual",60,"Disposable","ok:manual",230538
"e-liquid (impute mL)","081505802237","LOGIC","raw","LOGIC POWER ECLE CHERRY","LOGIC POWER ECLE CHERRY",2,2.4,"gpt_verified",NA,NA,NA,44.064,"gpt_verified",27,"Closed pod","ok:gpt-high",227267
"bare UPC (needs barcode lookup)","036586038660","21ST CENTURY SMOKE","prefix",NA,NA,NA,1.6,"prefix10",1,1.6,1.6,17.408,"prefix10",16,NA,"note:single_sibling",220681
"e-liquid (impute mL)","072153501252","BIDI","manual","BIDI STICK","BIDI STICK SMOKING ALTERNATIVE PRODUCT KICK START BOX 1 COUNT",1,1.4,"manual",NA,NA,NA,57.12,"manual",60,"Disposable","ok:manual",219539
"e-liquid (impute mL)","072153501248","BIDI","manual","BIDI STICK","BIDI STICK SMOKING ALTERNATIVE PRODUCT DRAGON VENOM BOX 1 COUNT",1,1.4,"manual",NA,NA,NA,57.12,"manual",60,"Disposable","ok:manual",206935
"e-liquid (impute mL)","088796901132","BLU","raw","BLU","BLU ANTISMOKING PRODUCT ELECTRONIC CIGARETTE LIQUID PO GOLD LEAF BOX IN WRAP 2 COUNT",2,3,"gpt_verified",NA,NA,NA,50.592,"prefix11",24.8,"Closed pod","ok:gpt-high",205167
"e-liquid (impute mL)","088796900511","BLU","raw","BL-EGS E-CG TANK CAROLINA","BL-EGS E-CG TANK CAROLINA",3,3,"gpt_verified",NA,NA,NA,40.8,"prefix11",20,"Closed pod","ok:gpt-high",202476
"bare UPC (needs barcode lookup)","085570400806","MISTIC","prefix",NA,NA,NA,10,"prefix11",5,10,10,163.2,"prefix11",24,NA,"ok",199899
"e-liquid (impute mL)","088796900998","BLU","raw","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",2,3,"gpt_verified",NA,NA,NA,81.6,"prefix11",40,"Closed pod","ok:gpt-high",198832
"e-liquid (impute mL)","081536802030","NJOY","raw","NJOY E-CG TANK APPLE CRISP","NJOY E-CG TANK APPLE CRISP",1,1,"prefix11",1,1,1,30.6,"prefix11",45,NA,"note:single_sibling",193673
"e-liquid (impute mL)","072153501250","BIDI","manual","BIDI STICK","BIDI STICK SMOKING ALTERNATIVE PRODUCT STICK BLAZING VIBE CLASS A NICOTINE BOX 2 COUNT",2,2.8,"manual",NA,NA,NA,114.24,"manual",60,"Disposable","ok:manual",187333
"bare UPC (needs barcode lookup)","084920502165","VUSE","prefix",NA,NA,NA,1.8,"prefix11",1,1.8,1.8,29.376,"prefix11",24,NA,"note:single_sibling",182522
"e-liquid (impute mL)","081505802245","LOGIC","raw","LP ECGLC CHERRY","LP ECGLC CHERRY",2,3,"gpt_verified",NA,NA,NA,36.72,"gpt_verified",18,"Closed pod","ok:gpt-high",181527
"e-liquid (impute mL)","085438400415","LOGIC","raw","LOGIC E-CG TOB","LOGIC E-CG TOB",1,7.25,"prefix10",5,2.9,7.25,88.74,"gpt_verified",18,"Closed pod","CHECK:siblings_disagree",181440
"e-liquid (impute mL)","081536802039","NJOY","raw","NJOY E-CG TANK APPLE MELON","NJOY E-CG TANK APPLE MELON",1,1,"prefix11",1,1,1,30.6,"prefix11",45,NA,"note:single_sibling",179326
"e-liquid (impute mL)","084920501538","VUSE","raw","ELCT CGRTT TANK","ELCT CGRTT TANK",2,3.8,"gpt_verified",NA,NA,NA,93.024,"gpt_verified",36,"Closed pod","ok:gpt-high",174363
"bare UPC (needs barcode lookup)","084920501712","VUSE","prefix",NA,NA,NA,1.9,"prefix11",1,1.9,1.9,38.76,"prefix11",30,NA,"note:single_sibling",172285
"e-liquid (impute mL)","088796901082","BLU","raw","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,3,"gpt_verified",NA,NA,NA,43.96096164,"prefix11",21.5,"Closed pod","ok:gpt-high",171196
"e-liquid (impute mL)","088886130602","LEAP","raw","ELCT CGRTT","ELCT CGRTT",1,1.25,"line+carts",2,1,1.5,32.64,"line+carts",38.4,NA,"minor:some_spread",170228
"e-liquid (impute mL)","085962600205","FINITI","raw","FINITI MIDNIGHT E-CG CMT","FINITI MIDNIGHT E-CG CMT",1,1.75,"prefix11",5,1.75,1.75,19.04,"prefix11",16,NA,"ok",169046
"e-liquid (impute mL)","081536802027","NJOY","raw","NJOY E-CG TANK ICED FRUIT","NJOY E-CG TANK ICED FRUIT",1,1,"prefix11",1,1,1,30.6,"prefix11",45,NA,"note:single_sibling",166973
"e-liquid (impute mL)","072153501245","BIDI","manual","BIDI STICK","BIDI STICK SMOKING ALTERNATIVE PRODUCT FRUITY MANGO BOX 1 COUNT",1,1.4,"manual",NA,NA,NA,57.12,"manual",60,"Disposable","ok:manual",164493
"e-liquid (impute mL)","072153501246","BIDI","manual","BIDI STICK","BIDI STICK SMOKING ALTERNATIVE PRODUCT STICK JUNGLE JUICE CLASS A NICOTINE BOX 2 COUNT",2,2.8,"manual",NA,NA,NA,114.24,"manual",60,"Disposable","ok:manual",159944
"e-liquid (impute mL)","036586038657","21ST CENTURY SMOKE","raw","ELCT CGRTT A&C","ELCT CGRTT A&C",1,1.6,"prefix10",1,1.6,1.6,17.408,"gpt_verified",16,"Closed pod","note:single_sibling",159034
"e-liquid (impute mL)","081764101760","KRAVE","raw","KRAVE 500 E-CG MN","KRAVE 500 E-CG MN",1,2,"prefix10",1,2,2,24.48,"prefix10",18,NA,"note:single_sibling",156615
"e-liquid (impute mL)","009710000218","MARKTEN","raw","MARKTEN EVCC CREAM","MARKTEN EVCC CREAM",2,1.6,"prefix8+carts",10,1.6,3.2,38.08,"prefix8+carts",35,"Closed pod","CHECK:siblings_disagree",152653
"e-liquid (impute mL)","081505802233","LOGIC","raw","LOGIC POWER ECLE MN","LOGIC POWER ECLE MN",1,2.4,"gpt_verified",NA,NA,NA,44.064,"gpt_verified",27,"Closed pod","ok:gpt-high",150277
"e-liquid (impute mL)","081764101759","KRAVE","raw","KRAVE 500 E-CG TOB RFL","KRAVE 500 E-CG TOB RFL",1,2,"prefix10",1,2,2,24.48,"prefix10",18,NA,"note:single_sibling",149034
"e-liquid (impute mL)","088796901056","BLU","raw","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",2,3,"gpt_verified",NA,NA,NA,32.64,"prefix11",16,"Closed pod","ok:gpt-high",148041
"non-e-liquid (exclude)","009700000500","MARLBORO","raw",NA,NA,20,NA,"excluded",NA,NA,NA,NA,"excluded",NA,NA,"excluded",146904
"e-liquid (impute mL)","084920501787","VUSE","raw","ELCT VAPOR CGRTT CARTRIDGE","ELCT VAPOR CGRTT CARTRIDGE",2,1.8,"gpt_verified",NA,NA,NA,21.6648,"gpt_verified",17.7,"Closed pod","ok:gpt-high",139932
"e-liquid (impute mL)","088796900906","BLU","raw","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",2,3,"gpt_verified",NA,NA,NA,48.96,"prefix11",24,"Closed pod","ok:gpt-high",139225
"bare UPC (needs barcode lookup)","088796900870","BLU","prefix",NA,NA,NA,2.247586,"prefix11",2,1.5082485,2.9869235,36.68060352,"prefix11",24,NA,"minor:some_spread",135600
"bare UPC (needs barcode lookup)","085962600262","FINITI","prefix",NA,NA,NA,3,"prefix11",1,3,3,27.2,"prefix11",13.3,NA,"note:single_sibling",135214
"e-liquid (impute mL)","081990502849","NJOY","line","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,1.9,"gpt_verified",NA,NA,NA,74.936,"gpt_verified",58,"Closed pod","ok:gpt-low",134492
"e-liquid (impute mL)","088796901070","BLU","raw","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",2,3,"gpt_verified",NA,NA,NA,61.2,"prefix11",30,"Closed pod","ok:gpt-high",131602
"e-liquid (impute mL)","081536802175","NJOY","raw","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,1,"prefix10",2,1,1,40.8,"prefix10",60,NA,"ok",130484
"e-liquid (impute mL)","009710000289","NJOY","line","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,0.8,"prefix8+carts",5,0.8,1.6,19.04,"prefix8+carts",35,NA,"CHECK:siblings_disagree",129487
"e-liquid (impute mL)","081990502787","NJOY","line","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,1.9,"gpt_verified",NA,NA,NA,74.936,"gpt_verified",58,"Closed pod","ok:gpt-low",128956
"e-liquid (impute mL)","081536802174","NJOY","raw","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,1,"prefix10",2,1,1,40.8,"prefix10",60,NA,"ok",126382
"bare UPC (needs barcode lookup)","084920501544","VUSE","prefix",NA,NA,NA,3.8,"prefix11",3,3.8,3.8,77.52,"prefix11",30,NA,"ok",122100
"e-liquid (impute mL)","081536802177","NJOY","raw",NA,"NJOY LOOP PODS SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO TROPICAL TWIST BOX 2 COUNT",2,1,"prefix10",2,1,1,40.8,"prefix10",60,NA,"ok",120373
"e-liquid (impute mL)","088796901002","BLU","raw","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,3,"gpt_verified",NA,NA,NA,65.28,"prefix11",32,"Closed pod","ok:gpt-high",117750
"e-liquid (impute mL)","009710000287","NJOY","line","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,0.8,"prefix8+carts",5,0.8,1.6,19.04,"prefix8+carts",35,NA,"CHECK:siblings_disagree",116384
"e-liquid (impute mL)","088886130206","NJOY","line","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,3,"prefix11",1,3,3,97.92,"prefix11",48,NA,"note:single_sibling",115147
"e-liquid (impute mL)","009710000288","NJOY","line","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,0.8,"prefix8+carts",5,0.8,1.6,19.04,"prefix8+carts",35,NA,"CHECK:siblings_disagree",114694
"e-liquid (impute mL)","085438400414","LOGIC","raw","LOGIC E-CG MN","LOGIC E-CG MN",2,7.25,"prefix10",5,2.9,7.25,88.74,"gpt_verified",18,"Closed pod","CHECK:siblings_disagree",114431
"e-liquid (impute mL)","088796901000","BLU","raw","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,3,"gpt_verified",NA,NA,NA,65.28,"prefix11",32,"Closed pod","ok:gpt-high",113806
"e-liquid (impute mL)","081002599296","IGNITE","line","IGNITE V15","IGNITE V15 SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO STRAWBERRY GUAVA ICE BOX 1 COUNT",1,5.1,"gpt_verified",NA,NA,NA,173.4,"gpt_verified",50,"Disposable","ok:gpt-high",112648
"e-liquid (impute mL)","072153501253","BIDI","manual","BIDI STICK","BIDI STICK SMOKING ALTERNATIVE PRODUCT ICY MANGO BOX 1 COUNT",1,1.4,"manual",NA,NA,NA,57.12,"manual",60,"Disposable","ok:manual",109845
"e-liquid (impute mL)","088796901004","BLU","raw","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,3,"gpt_verified",NA,NA,NA,65.28,"prefix11",32,"Closed pod","ok:gpt-high",108871
"e-liquid (impute mL)","081002599297","IGNITE","line","IGNITE V15","IGNITE V15 SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO BLUEBERRY ICE BOX 1 COUNT",1,5.1,"gpt_verified",NA,NA,NA,173.4,"gpt_verified",50,"Disposable","ok:gpt-high",107508
"non-e-liquid (exclude)","009700000501","MARLBORO","raw",NA,NA,20,NA,"excluded",NA,NA,NA,NA,"excluded",NA,NA,"excluded",100252
"e-liquid (impute mL)","088796900527","BLU","raw","BL-EGS E-CG C-B","BL-EGS E-CG C-B",1,1,"gpt_verified",NA,NA,NA,16.32,"gpt_verified",24,"Closed pod","ok:gpt-medium",98213
"e-liquid (impute mL)","085570400720","MISTIC","raw","MISTIC E-CGC RFL","MISTIC E-CGC RFL",3,5,"prefix10",4,1,29.987529,61.2,"gpt_verified",18,"Closed pod","CHECK:siblings_disagree",98207
"e-liquid (impute mL)","081068701775","NJOY","raw","NJOY E-CG LIQUID MN","NJOY E-CG LIQUID MN",1,10,"prefix11",3,10,10,68,"prefix11",10,NA,"ok",96566
"e-liquid (impute mL)","084866602263","FINITI","raw","FIN E-CG","FIN E-CG",1,1,"prefix11",2,1,1,10.88,"prefix11",16,NA,"ok",95807
"e-liquid (impute mL)","084920502159","VUSE","raw","VUSE","VUSE ANTISMOKING PRODUCT 1 COUNT",1,1.8,"gpt_verified",NA,NA,NA,61.2,"gpt_verified",50,"Closed pod","ok:gpt-medium",94801
"hardware/device (exclude)","081991301550","JUUL","raw",NA,"JUUL SMOKING ALTERNATIVE PRODUCT ELECTRONIC VAPOR DEVICE THE ALTERNATIVE FOR ADULT SMOK BOX 1 COUNT",1,1.4,"prefix10",8,1.4,1.4,47.6,"prefix10",50,NA,"ok",94477
"e-liquid (impute mL)","085570400719","MISTIC","raw","MISTIC E-CGC RFL","MISTIC E-CGC RFL",3,5,"prefix10",4,1,29.987529,61.2,"gpt_verified",18,"Closed pod","CHECK:siblings_disagree",94322
"e-liquid (impute mL)","081536802173","NJOY","raw","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,1,"prefix10",2,1,1,40.8,"prefix10",60,NA,"ok",93632
"e-liquid (impute mL)","088886130210","NJOY","line","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,3,"prefix11",3,3,3,97.92,"prefix11",48,NA,"ok",90804
"e-liquid (impute mL)","081536802176","NJOY","raw","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,1,"prefix10",2,1,1,40.8,"prefix10",60,NA,"ok",86190
"e-liquid (impute mL)","081068701686","NJOY","raw","NJOY E-CGCM GOLD TOB RFL","NJOY E-CGCM GOLD TOB RFL",2,2,"prefix11",3,2,2,40.8,"prefix11",30,NA,"ok",83411
"e-liquid (impute mL)","072153501251","BIDI","manual","BIDI STICK","BIDI STICK SMOKING ALTERNATIVE PRODUCT CHAMPIONS JUICE BOX 1 COUNT",1,1.4,"manual",NA,NA,NA,57.12,"manual",60,"Disposable","ok:manual",82784
"e-liquid (impute mL)","085962600207","FINITI","raw","FINITI E-CG","FINITI E-CG",1,1.75,"prefix11",5,1.75,1.75,19.04,"prefix11",16,NA,"ok",80663
"e-liquid (impute mL)","088886130603","LEAP","raw",NA,"LEAP GO SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE MINT BOX 1 COUNT",1,1.5,"prefix8_percart",10,NA,NA,97.92,"prefix8",96,NA,"weak:coarse_match",78149
"e-liquid (impute mL)","085000134231","EPIC","raw","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,1.5,"line_percart",6,NA,NA,61.2,"line",60,NA,"weak:coarse_match",73158
"e-liquid (impute mL)","081990502355","GLAS","line","GLAS","GLAS SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO SAPPHIRE BOX 2 COUNT",2,2.6,"gpt_verified",NA,NA,NA,88.4,"gpt_verified",50,"Closed pod","ok:gpt-high",72444
"e-liquid (impute mL)","085000134246","EPIC","raw","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,1.5,"line_percart",6,NA,NA,61.2,"line",60,NA,"weak:coarse_match",70327
"e-liquid (impute mL)","081505802251","LOGIC","raw","ELCT CGRTT LIQUID CAPSULE","ELCT CGRTT LIQUID CAPSULE",2,3,"gpt_verified",NA,NA,NA,36.72,"gpt_verified",18,"Closed pod","ok:gpt-high",70242
"e-liquid (impute mL)","088796900992","BLU","raw","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,3,"gpt_verified",NA,NA,NA,81.6,"prefix11",40,"Closed pod","ok:gpt-high",69893
"e-liquid (impute mL)","081991301516","JUUL","raw","ELCT CGRTT CARTRIDGE","ELCT CGRTT CARTRIDGE",2,1.4,"prefix11",4,1.4,1.4,47.6,"prefix11",50,NA,"ok",69345
"e-liquid (impute mL)","081342001259","KRAVE","raw","KRAVE E-CG OGN","KRAVE E-CG OGN",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",68900
"e-liquid (impute mL)","088796901040","BLU","raw","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",2,3,"gpt_verified",NA,NA,NA,48.96,"prefix10",24,"Closed pod","ok:gpt-high",68857
"e-liquid (impute mL)","036586038376","21ST CENTURY SMOKE","raw","21CS E-CGC","21CS E-CGC",1,14.9937645,"prefix8+carts",11,0.9,14.9937645,163.13215776,"gpt_verified",16,"Closed pod","CHECK:siblings_disagree",66605
"bare UPC (needs barcode lookup)","084920501547","VUSE","prefix",NA,NA,NA,3.8,"prefix11",3,3.8,3.8,77.52,"prefix11",30,NA,"ok",65611
"e-liquid (impute mL)","088796901129","BLU","raw","BLU","BLU SMOKING ALTERNATIVE PRODUCT TOBACCO 2 COUNT",2,3,"prefix10",2,3,3,50.592,"prefix10",24.8,NA,"ok",64800
"e-liquid (impute mL)","084866604600","FINITI","raw","FIN ECGVT BOLD TOB","FIN ECGVT BOLD TOB",1,4.8,"prefix11",2,4.8,4.8,78.336,"prefix11",24,NA,"ok",62144
"e-liquid (impute mL)","081342001260","KRAVE","raw","KRAVE E-CG MN","KRAVE E-CG MN",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",62069
"e-liquid (impute mL)","084866604612","FINITI","raw","FIN E-CG CLMR","FIN E-CG CLMR",2,4.8,"prefix10",2,4.8,4.8,78.336,"prefix10",24,NA,"ok",59364
"hardware/device (exclude)","081990502834","GLAS","raw",NA,"GLAS SMOKING ALTERNATIVE PRODUCT STARTER KIT BOX 1 COUNT",1,1.3,"prefix10",2,1.3,1.3,56.1,"prefix10",63.5,NA,"ok",57523
"e-liquid (impute mL)","085570400761","MISTIC","manual_upc","HAUS E-CG LIQUID DARK ICE MN","HAUS E-CG LIQUID DARK ICE MN",1,30,"manual_upc",NA,NA,NA,81.6,"manual_upc",4,"Open refill","ok:manual",56022
"hardware/device (exclude)","081990502867","GLAS","raw",NA,"GLAS SMOKING ALTERNATIVE PRODUCT STARTER KIT BOX 1 COUNT",1,1.3,"prefix10",2,1.3,1.3,56.1,"prefix10",63.5,NA,"ok",54829
"e-liquid (impute mL)","085570400760","MISTIC","manual_upc","HAUS E-CG LIQUID SCT","HAUS E-CG LIQUID SCT",1,30,"manual_upc",NA,NA,NA,81.6,"manual_upc",4,"Open refill","ok:manual",54215
"bare UPC (needs barcode lookup)","084920501811","VUSE","prefix",NA,NA,NA,1.8,"prefix10",1,1.8,1.8,61.2,"prefix10",50,NA,"note:single_sibling",53828
"e-liquid (impute mL)","081821401475","GREEN SMOKE","raw","GREEN SMOKE EVPC CLASSIC","GREEN SMOKE EVPC CLASSIC",3,3,"prefix8+carts",1,3,3,48.96,"prefix8+carts",24,NA,"note:single_sibling",52507
"bare UPC (needs barcode lookup)","084920501808","VUSE","prefix",NA,NA,NA,1.8,"prefix11",1,1.8,1.8,61.2,"prefix11",50,NA,"note:single_sibling",52101
"e-liquid (impute mL)","084866604614","FINITI","raw","FIN ECGVT MN","FIN ECGVT MN",2,4.8,"prefix10",2,4.8,4.8,78.336,"prefix10",24,NA,"ok",51520
"e-liquid (impute mL)","009710000286","NJOY","line","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,0.8,"prefix8+carts",5,0.8,1.6,19.04,"prefix8+carts",35,NA,"CHECK:siblings_disagree",51035
"e-liquid (impute mL)","081821401474","GREEN SMOKE","raw","GREEN SMOKE E-CGC M-I","GREEN SMOKE E-CGC M-I",5,5,"prefix8_percart",1,NA,NA,48.96,"prefix8",14.4,NA,"weak:coarse_match",50770
"e-liquid (impute mL)","009710000285","NJOY","line","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,0.8,"prefix8+carts",5,0.8,1.6,19.04,"prefix8+carts",35,NA,"CHECK:siblings_disagree",50254
"e-liquid (impute mL)","085570400864","MISTIC","manual_upc","HAUS E-CG LIQUID CLOUD PUNCH","HAUS E-CG LIQUID CLOUD PUNCH",1,30,"manual_upc",NA,NA,NA,81.6,"manual_upc",4,"Open refill","ok:manual",49607
"e-liquid (impute mL)","088886130600","LEAP","raw","ELCT CGRTT","ELCT CGRTT",1,1.25,"line+carts",2,1,1.5,32.64,"line+carts",38.4,NA,"minor:some_spread",48279
"e-liquid (impute mL)","085570400743","COSMIC FOG","raw","CSM FG ECGL KREWBERRY","CSM FG ECGL KREWBERRY",1,30,"gpt_verified",NA,NA,NA,61.2,"gpt_verified",3,"Open refill","ok:gpt-high",47624
"e-liquid (impute mL)","036586037172","VAPIN PLUS","raw","VPLS E-CG LIQUID STBRY","VPLS E-CG LIQUID STBRY",1,14.9937645,"prefix11",1,14.9937645,14.9937645,163.13215776,"prefix11",16,NA,"note:single_sibling",46385
"e-liquid (impute mL)","085570400795","MISTIC","manual_upc","HAUS E-CG LIQUID SWEET VOO DEW","HAUS E-CG LIQUID SWEET VOO DEW",1,30,"manual_upc",NA,NA,NA,81.6,"manual_upc",4,"Open refill","ok:manual",45799
"hardware/device (exclude)","081991301546","JUUL","raw","ELCT VAPOR DEVICE","ELCT VAPOR DEVICE",1,NA,"hardware_exclude",NA,NA,NA,NA,"hardware_exclude",NA,NA,"",45013
