"type","s0","x0","s1","x1","within","composition","interaction","total","base_month","comp_month"
"Disposable",0.33990670617655,9.89648418911506,0.0164081734675497,6.75649212323488,-1.06730436053384,-3.20149811415655,1.01578282603014,-3.25301964866024,2013-01-01,2023-12-01
"Starter Kit",0.0505377403439863,50.738587242942,0.000224813878383585,10.2848468286742,-2.04444062899929,-2.55280680892271,2.03534606672164,-2.56190137120036,2013-01-01,2023-12-01
"Refill",0.609555553479463,3.71902628304363,0.808644100621475,4.5486620662884,0.505709099042133,0.740415539474111,0.165170982743226,1.41129562125947,2013-01-01,2023-12-01
"UNKNOWN",0,0,0.174722912032592,3.04479837559167,0,0,0.531996038735482,0.531996038735482,2013-01-01,2023-12-01
