"type","s0","x0","s1","x1","within","composition","interaction","total","base_month","comp_month"
"Disposable",0.33990670617655,15.1917107790306,0.0164081734675497,34.418902704536,6.5354514764229,-4.91449614635591,-6.21996837601534,-4.59901304594835,2013-01-01,2023-12-01
"Refill",0.609555553479463,10.7637954105254,0.808644100621475,21.5085266899264,6.54951062200339,2.14294839001535,2.13915293984728,10.831611951866,2013-01-01,2023-12-01
"Starter Kit",0.0505377403439863,14.1344967187366,0.000224813878383585,18.4024560993104,0.215693022974122,-0.711147894038096,-0.214733526472992,-0.710188397536966,2013-01-01,2023-12-01
"UNKNOWN",0,0,0.174722912032592,29.386026961564,0,0,5.13441220379272,5.13441220379272,2013-01-01,2023-12-01
