"row_id","upc","brand_filled","product_line","product_descr","imputed_num_cartridges","imputed_mL_per_cartridge","imputed_total_mL","imputed_nic_mg_per_ml","imputation_basis","priority","total_units","cum_unit_share"
39,"009710000287","NJOY","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,0.8,0.8,"35","prefix8+carts","1-CHECK",116384,0.553
40,"088886130206","NJOY","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,3,3,"48","prefix11","3-single-sibling",115147,0.561
41,"009710000288","NJOY","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,0.8,0.8,"35","prefix8+carts","1-CHECK",114694,0.569
42,"085438400414","LOGIC","LOGIC E-CG MN","LOGIC E-CG MN",2,3.62,7.25,"18","prefix10","1-CHECK",114431,0.577
43,"088796901000","BLU","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,3,3,"32","prefix11","5-ok",113806,0.585
44,"081002599296","IGNITE","IGNITE V15","IGNITE V15 SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO STRAWBERRY GUAVA ICE BOX 1 COUNT",1,2.6,2.6,"25","prefix11","4-minor",112648,0.593
45,"088796901004","BLU","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,3,3,"32","prefix11","5-ok",108871,0.601
46,"081002599297","IGNITE","IGNITE V15","IGNITE V15 SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO BLUEBERRY ICE BOX 1 COUNT",1,2.6,2.6,"25","prefix11","4-minor",107508,0.608
47,"088796900527","BLU","BL-EGS E-CG C-B","BL-EGS E-CG C-B",1,1,1,"24","prefix11","3-single-sibling",98213,0.615
48,"085570400720","MISTIC","MISTIC E-CGC RFL","MISTIC E-CGC RFL",3,1.67,5,"18","prefix10","1-CHECK",98207,0.622
49,"081068701775","NJOY","NJOY E-CG LIQUID MN","NJOY E-CG LIQUID MN",1,10,10,"10","prefix11","5-ok",96566,0.629
50,"084866602263","FINITI","FIN E-CG","FIN E-CG",1,1,1,"16","prefix11","5-ok",95807,0.635
51,"084920502159","VUSE","VUSE","VUSE ANTISMOKING PRODUCT 1 COUNT",1,1.8,1.8,"24","prefix10","3-single-sibling",94801,0.642
52,"085570400719","MISTIC","MISTIC E-CGC RFL","MISTIC E-CGC RFL",3,1.67,5,"18","prefix10","1-CHECK",94322,0.649
