"row_id","upc","brand_filled","product_line","product_descr","imputed_num_cartridges","imputed_mL_per_cartridge","imputed_total_mL","imputed_nic_mg_per_ml","imputation_basis","priority","total_units","cum_unit_share"
48,"085539000300","FLAVOR VAPES","FLAVOR VAPES E-CG TOB","FLAVOR VAPES E-CG TOB",1,,,,"none","1-no-value",4403,0.114
49,"088886111007","INFUSE","INFUSE","INFUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE BANANA ICE BOX 1 COUNT",1,,,,"none","1-no-value",4368,0.114
50,"085607300324","JAK","JAK E-CG PINEAPPLE","JAK E-CG PINEAPPLE",4,,,,"none","1-no-value",4336,0.115
51,"085607300385","JAK","JAK E-CG BLACKBERRY","JAK E-CG BLACKBERRY",1,,,,"none","1-no-value",4233,0.115
52,"085607300383","JAK","JAK E-CG BERRY","JAK E-CG BERRY",1,,,,"none","1-no-value",3821,0.116
53,"085452700314","VIENTI","VIENTI E-CG VOF","VIENTI E-CG VOF",1,,,,"none","1-no-value",3789,0.116
54,"081009691189","JUICE","JUICE HEAD","JUICE HEAD SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO WATERMELON LIME JUICE HEAD BOX 1 COUNT",1,,,,"none","1-no-value",3731,0.116
55,"002145801000","CLEAN CIG","CLEAN CIG E-CGA REGULAR","CLEAN CIG E-CGA REGULAR",5,,,,"none","1-no-value",3567,0.117
56,"088886111001","INFUSE","INFUSE","INFUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE BERRY ICE BOX 1 COUNT",1,,,,"none","1-no-value",3396,0.117
57,"085452700315","VIENTI","VIENTI E-CG MN VOF","VIENTI E-CG MN VOF",1,,,,"none","1-no-value",2951,0.118
58,"001396427296","SMART SMOKE","SMART SMOKE E-CG RFL","SMART SMOKE E-CG RFL",2,,,,"none","1-no-value",2568,0.118
59,"081190403395","SOCIAL",,,1,,,,"none","1-no-value",2099,0.118
60,"089961000241","CIGIREX","CIGIREX E-CG REGULAR VO","CIGIREX E-CG REGULAR VO",1,,,,"none","1-no-value",1999,0.118
61,"002145805007","CLEAN CIG","CLN-CG E-CGA REGULAR","CLN-CG E-CGA REGULAR",5,,,,"none","1-no-value",1729,0.119
62,"085143800734","JAK",,"JAK SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE MENTHOL 800 PUFFS TUBE 1 COUNT",1,,,,"none","1-no-value",1624,0.119
63,"085005158211","RIZN","RIZN","RIZN SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO STRAWBERRY WATERMELON BOX 1 COUNT",1,,,,"none","1-no-value",1598,0.119
64,"081009691187","JUICE","JUICE HEAD","JUICE HEAD SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO RASPBERRY LEMONADE JUICE HEAD BOX 1 COUNT",1,,,,"none","1-no-value",1592,0.119
65,"002145801050","CLEAN CIG","CLN-CG E-CGA REGULAR","CLN-CG E-CGA REGULAR",5,,,,"none","1-no-value",1578,0.119
66,"001396427294","SMART SMOKE","SMART SMOKE E-CG MN","SMART SMOKE E-CG MN",10,,,,"none","1-no-value",1429,0.12
