year,brand,mL_old,mL_new,mL_sq_old,mL_sq_new,nic_old,nic_new,nic_mg_per_mL_old,nic_mg_per_mL_new,avg_mL_per_ecig_old,avg_mL_per_ecig_new,N_hom_old,N_hom_new,N_hom_change,mL_change_pct
2016,21ST CENTURY SMOKE,1571321.743949314,1571321.743949314,7180033.515618037,7180033.515618037,14826997.440009205,14826997.440009205,9.436003477393156,9.436003477393156,4.569422871710508,4.569422871710508,43.11709010714017,43.11709010714017,0,0
2016,AL CAPONE,44,44,44,44,538.5600000000002,538.5600000000002,12.240000000000004,12.240000000000004,1,1,12.240000000000004,12.240000000000004,0,0
2016,BLU,5592126,5592126,13395238,13395238,90939994.20740552,91051351.00739852,16.26215042497353,16.28206356712966,2.3953748538570125,2.3953748538570125,38.953946197621725,39.0016456376038,0.047699439982075376,0
2016,CIG2O,425,425,1237,1237,6605.520000000004,6605.520000000003,15.54240000000001,15.542400000000008,2.9105882352941177,2.9105882352941177,45.237526588235326,45.23752658823532,-7.105427357601002e-15,0
2016,E SWISHER,203,203,545,545,1723.3920000000007,1723.3920000000007,8.489615763546801,8.489615763546801,2.684729064039409,2.684729064039409,22.792318182921214,22.792318182921214,0,0
2016,FAZE,9.995843,9.995843,99.91687728064902,99.91687728064902,14.687999999999999,14.687999999999999,1.4694108340837284,1.4694108340837284,9.995843,9.995843,14.687999999999999,14.687999999999999,0,0
2016,FINITI,2137565.350002472,2137565.350002472,10281299.592493135,10281299.592493135,26595234.92797931,26595234.92797931,12.44183478551828,12.44183478551828,4.809817670594841,4.809817670594841,59.84295680600739,59.84295680600739,0,0
2016,GREEN SMART LIVING,1749.5,1749.5,7134.25,7134.25,21432.239999999976,21432.239999999976,12.250494426979124,12.250494426979124,4.077879394112603,4.077879394112603,49.95603879146945,49.95603879146945,0,0
2016,GREEN SMOKE,129738,129738,457560,457560,2122239.7439997722,2122239.7439997722,16.357888544603526,16.357888544603526,3.5268001664893864,3.5268001664893864,57.69100404252254,57.69100404252254,0,0
2016,IMPERIAL,119.95011600000001,119.95011600000001,2398.0050547355763,2398.0050547355763,88.128,88.128,0.7347054170418642,0.7347054170418642,19.991686,19.991686,14.687999999999999,14.687999999999999,0,0
2016,JUUL,16088.799999999817,16088.799999999817,45048.639999999185,45048.639999999185,547019.2000000087,547019.2000000087,34.000000000000924,34.000000000000924,2.799999999999981,2.799999999999981,95.20000000000195,95.20000000000195,0,0
2016,KRAVE,160430,160430,652140,652140,1092207.83999991,1092207.83999991,6.808002493298697,6.808002493298697,4.064950445677242,4.064950445677242,27.674192769306316,27.674192769306316,0,0
2016,LOGIC,2949857.8857604903,2949857.8857604903,15537919.590266239,15537919.590266239,39265164.121876,39265164.121876,13.310866367975288,13.310866367975288,5.2673451372931055,5.2673451372931055,70.11292723651297,70.11292723651297,0,0
2016,MARKTEN,611537.5999995176,611537.5999995176,1404040.9600015264,1404040.9600015264,13368366.432000319,13368366.432000319,21.860252635342235,21.860252635342235,2.295919269727052,2.295919269727052,50.1893752665838,50.1893752665838,0,0
2016,MISTIC,7162758.5,7162758.5,105264150.75,105264150.75,83147209.44032575,83147209.44032575,11.608266485645963,11.608266485645963,14.6960351588009,14.6960351588009,170.59549240578323,170.59549240578323,0,0
2016,NEO,5706.5,5706.5,41732.75,41732.75,12861.79200000004,12861.79200000004,2.253884517655312,2.253884517655312,7.313195478839919,7.313195478839919,16.48309806434412,16.48309806434412,0,0
2016,NICOTEK,353946.48520502204,353946.48520502204,1373908.7893800717,1373908.7893800717,3610273.680000001,3610273.680000001,10.200055180400406,10.200055180400406,3.8816850761612756,3.8816850761612756,39.593401969781766,39.593401969781766,0,0
2016,NJOY,4166083.4192050193,4166083.4192050193,19246196.670632765,19246196.670632765,82995435.9523597,82995435.9523597,19.921693255051785,19.921693255051785,4.619733868484411,4.619733868484411,92.03292104792017,92.03292104792017,0,0
2016,QUIK E-CIG,15,15,75,75,44.06399999999999,44.06399999999999,2.9375999999999993,2.9375999999999993,5,5,14.687999999999997,14.687999999999997,0,0
2016,UNKNOWN,1220133.2498019661,1220133.2498019661,12034995.348722246,12034995.348722246,19799590.128283616,19799590.128283616,16.227399861037465,16.227399861037465,9.863672964141898,9.863672964141898,160.06176528763524,160.06176528763524,0,0
2016,V2 CIGS,34323,34323,150783,150783,420999.6960000007,420999.6960000007,12.265818722139693,12.265818722139693,4.393060047198672,4.393060047198672,53.88447817441335,53.88447817441335,0,0
2016,VAPIN PLUS,266169.30740396894,266169.30740396894,3826143.882405643,3826143.882405643,330700.3200000145,330700.3200000145,1.2424434778954656,1.2424434778954656,14.374850052108563,14.374850052108563,17.859938692967578,17.859938692967578,0,0
2016,VAPOR X,24,24,48,48,969.408,969.408,40.392,40.392,2,2,80.784,80.784,0,0
2016,VUSE,1243879.5,1243879.5,1308901.25,1308901.25,40238846.59222095,40238846.59222095,32.34947323452227,32.34947323452227,1.0522733512369968,1.0522733512369968,34.04048861124228,34.04048861124228,0,0
2016,ZIG-ZAG,459.19999999999914,459.19999999999914,827.1200000000013,827.1200000000013,5258.712000000023,5258.712000000023,11.451898954703905,11.451898954703905,1.801219512195128,1.801219512195128,20.627383848899665,20.627383848899665,0,0
2017,21ST CENTURY SMOKE,1512737.0027346092,1512737.0027346092,7239988.523014593,7239988.523014593,13906885.632005848,13906885.632005848,9.193194591568828,9.193194591568828,4.786019321221534,4.786019321221534,43.998806938997724,43.998806938997724,0,0
2017,AL CAPONE,2,2,2,2,24.48,24.48,12.24,12.24,1,1,12.24,12.24,0,0
2017,BLU,5419210,5419210,12508354,12508354,88401631.99849784,88411559.99849683,16.312641879258756,16.314473880601938,2.308150819030818,2.308150819030818,37.65203771416752,37.656266249568255,0.004228535400734756,0
2017,COSMIC FOG,352230,352230,10566900,10566900,172451.8079999692,172451.8079999692,0.48959999999991255,0.48959999999991255,30,30,14.687999999997377,14.687999999997377,0,0
2017,E SWISHER,3,3,9,9,14.687999999999997,14.687999999999997,4.895999999999999,4.895999999999999,3,3,14.687999999999997,14.687999999999997,0,0
2017,FAZE,3868.391241000015,3868.391241000015,38667.8315076112,38667.8315076112,5684.2560000000285,5684.2560000000285,1.4694108340837304,1.4694108340837304,9.99584299999997,9.99584299999997,14.687999999999974,14.687999999999974,0,0
2017,FINITI,958956.4000011837,958956.4000011837,4601992.82000262,4601992.82000262,11579780.111981256,11579780.111981256,12.075397913781025,12.075397913781025,4.798959389599923,4.798959389599923,57.94934420149477,57.94934420149477,0,0
2017,GREEN SMART LIVING,776,776,3352,3352,9498.239999999993,9498.239999999993,12.23999999999999,12.23999999999999,4.319587628865979,4.319587628865979,52.87175257731954,52.87175257731954,0,0
2017,GREEN SMOKE,164230,164230,692244,692244,2688240.1919998014,2688240.1919998014,16.368752310782448,16.368752310782448,4.215088595262741,4.215088595262741,68.99574118385974,68.99574118385974,0,0
2017,JUUL,1624716.8000006217,1624716.8000006217,4549207.039999541,4549207.039999541,55240371.20001073,55240371.20001073,33.9999999999936,33.9999999999936,2.799999999998646,2.799999999998646,95.19999999993603,95.19999999993603,0,0
2017,KRAVE,16618,16618,59772,59772,114052.72799999798,114052.72799999798,6.86320423637008,6.86320423637008,3.59682272234926,3.59682272234926,24.685728945499605,24.685728945499605,0,0
2017,LOGIC,4918077.182720928,4918077.182720928,21518885.11540857,21518885.11540857,65694405.32556258,65694405.32556258,13.357741833815044,13.357741833815044,4.37546714212062,4.37546714212062,58.44636048678776,58.44636048678776,0,0
2017,MARKTEN,721964.7999994069,721964.7999994069,1809408.000001056,1809408.000001056,16664919.39200159,16664919.39200159,23.0827311691862,23.0827311691862,2.5062274504276973,2.5062274504276973,57.85057448705747,57.85057448705747,0,0
2017,MISTIC,6083429.5,6083429.5,101199521.75,101199521.75,62856759.072114766,62856759.072114766,10.332454591955864,10.332454591955864,16.635274847846926,16.635274847846926,171.88322199008385,171.88322199008385,0,0
2017,NICOTEK,114686.18319298912,114686.18319298912,792916.7753374985,792916.7753374985,669783.407999971,669783.407999971,5.840140366977663,5.840140366977663,6.91379513435556,6.91379513435556,40.377534053163664,40.377534053163664,0,0
2017,NJOY,4655678.479885015,4655678.479885015,11822987.588685345,11822987.588685345,107565089.31405425,107565089.31405425,23.104063087430145,23.104063087430145,2.5394768216419763,2.5394768216419763,58.67223269628281,58.67223269628281,0,0
2017,UNKNOWN,698464.9710339933,698464.9710339933,6914681.704536828,6914681.704536828,11351615.521521617,11351615.521521617,16.252233100132305,16.252233100132305,9.89982603465493,9.89982603465493,160.8942803659704,160.8942803659704,0,0
