year,brand,share,rank,Closed_pod_pct,Disposable_pct,Open_refill_pct,nic_mg_per_mL,avg_mL_per_unit,nic_per_unit_mg
2022,NJOY,12.9,3,87,13,0,34.2,2.79,95.5
2022,VUSE,50.5,1,92,8,0,27.6,4.61,127.3
2023,21ST CENTURY SMOKE,0,32,100,0,0,9.2,2.06,19.1
2023,BLU,1,7,78,22,0,19,2.33,44.3
2023,BREEZE,3.3,4,0,100,0,34,6,204
2023,FINITI,0,48,0,0,100,10.9,1.75,19
2023,HYPPE,2.8,5,0,100,0,34,6,204
2023,JUUL,18.8,2,100,0,0,31.5,2.59,81.5
2023,LOGIC,1.4,6,98,2,0,14.3,2.58,36.9
2023,MISTIC,0,42,0,0,100,16.3,10,163.2
2023,MNGO,0.2,16,0,100,0,40.8,1.4,57.2
2023,NICOTEK,0,45,0,0,100,16.3,10,163.1
2023,NJOY,13.2,3,84,16,0,30.6,2.73,83.6
2023,VUSE,54.8,1,92,8,0,28,4.8,134.4
