year,brand,mL_old,mL_new,mL_sq_old,mL_sq_new,nic_old,nic_new,nic_mg_per_mL_old,nic_mg_per_mL_new,avg_mL_per_ecig_old,avg_mL_per_ecig_new,N_hom_old,N_hom_new,N_hom_change,mL_change_pct
2016,21ST CENTURY SMOKE,1571321.74395,1571321.74395,7180033.515610047,7180033.515610047,14826997.440000005,14826997.440000005,9.436003477383181,9.436003477383181,4.569422871703427,4.569422871703427,43.11709010702778,43.11709010702778,0,0
2016,AL CAPONE,44,44,44,44,538.5600000000001,538.5600000000001,12.240000000000002,12.240000000000002,1,1,12.240000000000002,12.240000000000002,0,0
2016,BLU,5592126,5592126,13395238,13395238,90939994.2079993,91051351.0079993,16.26215042507971,16.282063567237095,2.3953748538570125,2.3953748538570125,38.953946197876064,39.001645637861145,0.04769943998508097,0
2016,CIG2O,425,425,1237,1237,6605.520000000001,6605.520000000001,15.542400000000002,15.542400000000002,2.9105882352941177,2.9105882352941177,45.237526588235305,45.237526588235305,0,0
2016,E SWISHER,203,203,545,545,1723.3919999999998,1723.3919999999998,8.489615763546798,8.489615763546798,2.684729064039409,2.684729064039409,22.792318182921207,22.792318182921207,0,0
2016,FAZE,9.995843,9.995843,99.91687728064902,99.91687728064902,14.687999999999999,14.687999999999999,1.4694108340837284,1.4694108340837284,9.995843,9.995843,14.687999999999999,14.687999999999999,0,0
2016,FINITI,2137565.349999999,2137565.349999999,10281299.592499996,10281299.592499996,26595234.928,26595234.928,12.441834785542351,12.441834785542351,4.809817670603614,4.809817670603614,59.84295680623233,59.84295680623233,0,0
2016,GREEN SMART LIVING,1749.5,1749.5,7134.25,7134.25,21432.24,21432.24,12.250494426979138,12.250494426979138,4.077879394112603,4.077879394112603,49.95603879146951,49.95603879146951,0,0
2016,GREEN SMOKE,129738,129738,457560,457560,2122239.744000001,2122239.744000001,16.357888544605288,16.357888544605288,3.5268001664893864,3.5268001664893864,57.69100404252875,57.69100404252875,0,0
2016,IMPERIAL,119.95011600000001,119.95011600000001,2398.0050547355763,2398.0050547355763,88.12799999999999,88.12799999999999,0.7347054170418641,0.7347054170418641,19.991686,19.991686,14.687999999999997,14.687999999999997,0,0
